Codice,Pagine,eliminato?
490111,"99, 101",
490112,"103, 105",
490113,"103, 105",
490117,"162, 166, 171, 174, 179",
490122,"109, 111, 113, 115, 117, 119, 121, 123, 125, 127, 131",
490123,"109, 111, 113, 115, 117, 119, 121, 123, 125",
490124,"109, 111, 113, 115, 117, 119, 121, 123, 125, 127",
490125,"109, 111, 113, 115, 117, 119, 121, 123, 125",
490139,179,
490183,161,
490186,"162, 163",
490187,"103, 105",
490250,"33, 51, 97",
490251,157,
490252,97,
490253,97,
490254,97,
490255,97,
490333,"109, 111, 113, 115, 117, 119, 121, 123, 125",
490349,"77, 79, 81, 87, 89, 91",
667755,77,
669900,"73, 77",
712052,218,
712650,238,
712805,187,
712990,238,
713002,"87, 161, 165, 170, 174, 179",
713009,75,
714017,238,
714041,238,
719130,"123, 125, 127",
719167,"123, 125, 127",
719169,129,
719328,129,
720050,223,
720118,"75, 77, 79, 83, 87, 89, 91, 99, 105, 127, 143, 151, 155, 157, 187","VERIFICARE (anche pag [75, 77, 79])"
720119,"28, 29, 32, 34, 44, 45, 46, 49, 52, 60, 75, 77, 79, 83, 87, 89, 91, 99, 105, 127, 143, 151, 155, 157, 187, 241, 243, 245, 247","VERIFICARE (anche pag [28, 29, 32])"
720309,"75, 77, 79, 83, 87, 89, 91, 99, 105, 127, 143, 151, 155, 157, 187","VERIFICARE (anche pag [75, 77, 79])"
720316,218,
721005,"166, 167",
721006,"166, 167",
721007,"166, 167",
721008,"166, 167",
721018,"166, 167",
721209,"162, 163",
721232,162,
722121,"99, 101",
722122,"99, 101",
722123,129,
722136,149,SI
722140,149,SI
722299,151,
727525,"79, 81",
736022,149,SI
736023,151,
736425,235,
736426,235,
736427,235,
736428,235,
736429,235,
737100,"216, 217, 220, 221, 222, 224, 225, 226, 234",
737604,"75, 77, 79, 81, 87, 89, 91",
737621,"161, 165, 170, 174, 179",
737628,129,
737816,"36, 54, 123, 125, 127",
737850,131,
738700,157,
738703,157,
738705,83,
738706,155,
738709,149,SI
770088,73,
785028,234,
785031,234,
785102,"7, 38, 55, 56, 60, 224",
785103,"28, 29, 30, 31, 32, 33, 34, 35, 36, 39, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 57, 224",
785104,225,
785105,226,
785106,226,
785200,"228, 229",
785527,223,
785529,223,
785534,"205, 207, 209, 211","VERIFICARE (anche pag [205, 207])"
785535,213,SI
785538,213,SI
785541,234,
786040,222,
786041,222,
787007,"43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 210, 212","VERIFICARE (anche pag [43, 44, 45])"
787008,"60, 210, 212",VERIFICARE (anche pag [60])
787009,"208, 212",SI
787010,"208, 212",SI
787012,"228, 230",
787013,"228, 230",
787017,"28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 200",
787018,200,
787019,"202, 203",
787020,"202, 203",
787021,"201, 203",
787022,"201, 203",
787023,"201, 203, 205, 207, 209, 211, 215","VERIFICARE (anche pag [201, 203, 205])"
787024,"201, 203, 205, 207, 209, 211, 215","VERIFICARE (anche pag [201, 203, 205])"
787025,"28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 201, 203",
787030,204,
787031,204,
787032,206,
787033,206,
787349,197,
787378,196,
787456,214,
787510,196,
787725,"201, 203, 204, 205, 206, 207, 209, 211, 215","VERIFICARE (anche pag [201, 203, 204])"
787831,"43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 57, 59, 206, 210, 214","VERIFICARE (anche pag [43, 44, 45])"
787832,"204, 208",VERIFICARE (anche pag [204])
787833,"207, 211, 212",VERIFICARE (anche pag [207])
787834,"205, 209, 212",VERIFICARE (anche pag [205])
787852,"55, 56, 58, 60, 206, 210","VERIFICARE (anche pag [55, 56, 58])"
787853,"206, 210",VERIFICARE (anche pag [206])
787854,"204, 208",VERIFICARE (anche pag [204])
787855,"204, 208",VERIFICARE (anche pag [204])
787856,"206, 214",
787857,"206, 214",
790062,"73, 75, 77, 79, 81, 83, 85, 87, 89, 91, 93, 99, 101, 105, 151, 155, 157, 224",
790064,"217, 220, 222",
790065,"217, 220, 222",
790076,"42, 75, 77, 79, 83, 87, 89, 91, 99, 105, 151, 155, 157, 188, 189",
790077,"28, 29, 32, 34, 44, 45, 46, 49, 52, 75, 77, 79, 83, 87, 89, 91, 99, 105, 151, 155, 157, 188, 189",
790281,"165, 192, 193",
790284,43,
790286,"73, 81, 101, 188, 189",
790305,"73, 81, 85, 93, 97, 101, 103, 188, 189",
790418,197,
790904,223,
790905,"60, 192, 193, 241, 243, 245, 247",
790922,"143, 190, 191","VERIFICARE (anche pag [190, 191])"
799349,213,SI
950224,236,
1044151,"30, 47, 81",
1044171,81,
1046143,161,
1046208,169,
1046218,169,
1046228,169,
1046268,169,
1046278,169,
1046288,169,
1046338,173,
1046348,173,
1046358,173,
1046408,169,
1046418,169,
1046428,169,
1046478,169,
1046488,169,
1046538,173,
1046548,173,
1046558,173,
1047048,169,
1047148,169,
1047508,169,
1047518,169,
1057263,66,SI
1057273,66,SI
1057283,66,SI
1057293,66,SI
1057303,66,SI
1057313,66,SI
1057323,66,SI
1057403,66,SI
1059995,57,
1097805,"55, 115",
1097815,"56, 119",
2022715,"170, 174, 192, 193",
2022805,141,SI
2022855,"149, 188, 189","VERIFICARE (anche pag [188, 189])"
2024015,"135, 188, 189",
2024025,"139, 188, 189",
7191661,127,
7851051,226,
7851061,226,
7870071,"210, 212",SI
7870081,"210, 212",SI
7870091,"208, 212",SI
7870101,"208, 212",SI
10561644,58,
10566544,59,
10675201,"34, 35, 52, 99",
10675301,"53, 101",
63000169,177,
63000710,"190, 191",
63001034,"161, 192, 193",
63002425,"137, 188, 189",
63002485,"111, 113, 190, 191",
63003207,"131, 190, 191",
63003390,"109, 190, 191",
63003452,"177, 192, 193",
63003478,"123, 125, 190, 191",
71209101,"103, 105, 179",
71275101,"43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 123, 125, 127, 216, 217",
104250445,51,
104415144,47,
104415445,46,
104419445,45,
105630445,56,
105632445,49,
105633445,44,
106746445,52,
106747445,53,
424550001,"58, 97, 149","VERIFICARE (anche pag [58, 97])"
424560001,151,
424560101,151,
424591001,"135, 137, 139",
712104001,"99, 101",
712501001,"89, 91, 93, 111, 113",
712651001,238,
712651010,238,
712652001,238,
712652010,238,
1056303445,55,
