Note_Antonella,IDML,Categoria,Prodotto,Pagina,Pagina_fine,SKU_presenti_nel_prodotto,Num_prodotti_per_categoria,Num_SKU_per_prodotto,Num_SKU_per_categoria
,,Automazioni per ante a battente esterno,400,90,91,104201; 104202; 104203; 104205; 104206; 104220; 404040; 490042; 490043; 490349; 720118; 720119; 720309; 737604; 790062; 790076; 790077; 712501001,11,18,60
,,Automazioni per ante a battente esterno,S450H,92,94,104100; 104101; 114115; 124125; 134135; 144145; 154155; 164165; 390923; 390926; 790062; 790305; 712501001,11,13,60
,0,Automazioni per ante a battente con motore interrato,,95,95,,5,0,48
,,Automazioni per ante a battente con motore interrato,S2500I,96,97,102011; 104250; 390091; 390130; 390926; 391456; 416250; 416251; 490250; 490252; 490253; 490254; 490255; 790305; 424550001,5,15,48
,,Automazioni per ante a battente con motore interrato,770N 230V,98,99,390612; 404035; 490065; 490110; 490111; 720118; 720119; 720309; 722121; 722122; 790062; 790076; 790077; 10675201; 712104001,5,15,48
,,Automazioni per ante a battente con motore interrato,770N 24V,100,101,102011; 390130; 390612; 390923; 390926; 404035; 490065; 490110; 490111; 722121; 722122; 790062; 790286; 790305; 10675301; 712104001,5,16,48
,,Automazioni per ante a battente con motore interrato,S800H ENC,102,103,108720; 108722; 108724; 108725; 390035; 390926; 390972; 490112; 490113; 490187; 790305; 71209101,5,12,48
,,Automazioni per ante a battente con motore interrato,S800 ENC,104,106,108800; 108801; 108802; 108803; 110066; 390035; 390972; 490112; 490113; 490187; 720118; 720119; 720309; 790062; 790076; 790077; 71209101,5,17,48
,0,Automazioni per cancelli scorrevoli,,107,107,,12,0,52
,,Automazioni per cancelli scorrevoli,C4000I,108,109,109001; 110088; 390178; 490122; 490123; 490124; 490125; 490333; 63003390,12,9,52
,,Automazioni per cancelli scorrevoli,C720,110,111,109320; 111100; 390178; 390923; 424002; 490122; 490123; 490124; 490125; 490333; 63002485; 712501001,12,12,52
,,Automazioni per cancelli scorrevoli,C721,112,113,109321; 111122; 390178; 390923; 490122; 490123; 490124; 490125; 490333; 63002485; 712501001,12,11,52
,,Automazioni per cancelli scorrevoli,740,114,115,111144; 202269; 390178; 490122; 490123; 490124; 490125; 490333; 1097805,12,9,52
,,Automazioni per cancelli scorrevoli,740 C,116,117,109600; 390178; 490122; 490123; 490124; 490125; 490333,12,7,52
