page;product_name;codici_modelli;categoria_prodotto
122;746 C;"109745; 109746";Automazioni per cancelli scorrevoli
122;746 C;"109745; 109746";Automazioni per cancelli scorrevoli
124;844 C;"109925; 109926";Automazioni per cancelli scorrevoli
124;844 C;"109925; 109926";Automazioni per cancelli scorrevoli
126;844 3PH;"109928; 109904";Automazioni per cancelli scorrevoli
126;844 3PH;"109928; 109904";Automazioni per cancelli scorrevoli
128;884 MC 3PH;109885;Automazioni per cancelli scorrevoli
130;C851;109903;Automazioni per cancelli scorrevoli
134;D600;110600;Automazioni per porte sezionali
136;D700 HS;110602;Automazioni per porte sezionali
138;D1000;110601;Automazioni per porte sezionali
148;550;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125";Automazioni per porte basculanti
148;550;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125";Automazioni per porte basculanti
148;550;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125";Automazioni per porte basculanti
148;550;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125";Automazioni per porte basculanti
148;550;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125";Automazioni per porte basculanti
148;550;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125";Automazioni per porte basculanti
148;550;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125";Automazioni per porte basculanti
148;550;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125";Automazioni per porte basculanti
148;550;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125";Automazioni per porte basculanti
148;550;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125";Automazioni per porte basculanti
148;550;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125";Automazioni per porte basculanti
148;550;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125";Automazioni per porte basculanti
150;580 - 593;"104501; 104502; 110597";Automazioni per porte basculanti
150;580 - 593;"104501; 104502; 110597";Automazioni per porte basculanti
150;580 - 593;"104501; 104502; 110597";Automazioni per porte basculanti
154;390 230V;104570;Automazioni per porte a libro
156;560;"104561; 104562";Automazioni per porte a libro
156;560;"104561; 104562";Automazioni per porte a libro
160;B614;"104614; 1046143";Barriere automatiche
160;B614;"104614; 1046143";Barriere automatiche
164;615BPR;"104906; 104910";Barriere automatiche
164;615BPR;"104906; 104910";Barriere automatiche
168;620 Standard;Vedi tabella seguente;Barriere automatiche
172;620 Rapida;Vedi tabella seguente;Barriere automatiche
176;B680H;104680;Barriere automatiche
187;Contenitori;"720309; 720119; 720118";Apparecchiature elettroniche di comando
187;Contenitori;"720309; 720119; 720118";Apparecchiature elettroniche di comando
187;Contenitori;"720309; 720119; 720118";Apparecchiature elettroniche di comando
196;Dispositivi Simply Connect;"787378; 787510; 787349; 790418";Accessori per automazioni
196;Dispositivi Simply Connect;"787378; 787510; 787349; 790418";Accessori per automazioni
196;Dispositivi Simply Connect;"787378; 787510; 787349; 790418";Accessori per automazioni
196;Dispositivi Simply Connect;"787378; 787510; 787349; 790418";Accessori per automazioni
197;Applicazioni Simply Connect;"787378; 787510; 787349; 790418";Accessori per automazioni
197;Applicazioni Simply Connect;"787378; 787510; 787349; 790418";Accessori per automazioni
197;Applicazioni Simply Connect;"787378; 787510; 787349; 790418";Accessori per automazioni
197;Applicazioni Simply Connect;"787378; 787510; 787349; 790418";Accessori per automazioni
200;Sistema 433-868MHz FDS;"787017; 787018; 787023; 787024; 787021; 787022; 787025";Accessori per automazioni
200;Sistema 433-868MHz FDS;"787017; 787018; 787023; 787024; 787021; 787022; 787025";Accessori per automazioni
200;Sistema 433-868MHz FDS;"787017; 787018; 787023; 787024; 787021; 787022; 787025";Accessori per automazioni
200;Sistema 433-868MHz FDS;"787017; 787018; 787023; 787024; 787021; 787022; 787025";Accessori per automazioni
200;Sistema 433-868MHz FDS;"787017; 787018; 787023; 787024; 787021; 787022; 787025";Accessori per automazioni
200;Sistema 433-868MHz FDS;"787017; 787018; 787023; 787024; 787021; 787022; 787025";Accessori per automazioni
200;Sistema 433-868MHz FDS;"787017; 787018; 787023; 787024; 787021; 787022; 787025";Accessori per automazioni
202;Sistema 433-868MHz FDS BD;"787019; 787020; 787023; 787024; 787021; 787022; 787025";Accessori per automazioni
202;Sistema 433-868MHz FDS BD;"787019; 787020; 787023; 787024; 787021; 787022; 787025";Accessori per automazioni
202;Sistema 433-868MHz FDS BD;"787019; 787020; 787023; 787024; 787021; 787022; 787025";Accessori per automazioni
202;Sistema 433-868MHz FDS BD;"787019; 787020; 787023; 787024; 787021; 787022; 787025";Accessori per automazioni
202;Sistema 433-868MHz FDS BD;"787019; 787020; 787023; 787024; 787021; 787022; 787025";Accessori per automazioni
202;Sistema 433-868MHz FDS BD;"787019; 787020; 787023; 787024; 787021; 787022; 787025";Accessori per automazioni
202;Sistema 433-868MHz FDS BD;"787019; 787020; 787023; 787024; 787021; 787022; 787025";Accessori per automazioni
204;XTO - Sistema 868MHz SLH-DS;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
204;XTO - Sistema 868MHz SLH-DS;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
204;XTO - Sistema 868MHz SLH-DS;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
204;XTO - Sistema 868MHz SLH-DS;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
204;XTO - Sistema 868MHz SLH-DS;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
204;XTO - Sistema 868MHz SLH-DS;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
204;XTO - Sistema 868MHz SLH-DS;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
204;XTO - Sistema 868MHz SLH-DS;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
204;XTO - Sistema 868MHz SLH-DS;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
206;XTO - Sistema 433 MHz SLH-SL-DS-RC;"787856; 787857; 787032; 787033; 787023; 787024; 787833; 785534; 787852; 787853; 787831";Accessori per automazioni
206;XTO - Sistema 433 MHz SLH-SL-DS-RC;"787856; 787857; 787032; 787033; 787023; 787024; 787833; 785534; 787852; 787853; 787831";Accessori per automazioni
206;XTO - Sistema 433 MHz SLH-SL-DS-RC;"787856; 787857; 787032; 787033; 787023; 787024; 787833; 785534; 787852; 787853; 787831";Accessori per automazioni
206;XTO - Sistema 433 MHz SLH-SL-DS-RC;"787856; 787857; 787032; 787033; 787023; 787024; 787833; 785534; 787852; 787853; 787831";Accessori per automazioni
206;XTO - Sistema 433 MHz SLH-SL-DS-RC;"787856; 787857; 787032; 787033; 787023; 787024; 787833; 785534; 787852; 787853; 787831";Accessori per automazioni
206;XTO - Sistema 433 MHz SLH-SL-DS-RC;"787856; 787857; 787032; 787033; 787023; 787024; 787833; 785534; 787852; 787853; 787831";Accessori per automazioni
206;XTO - Sistema 433 MHz SLH-SL-DS-RC;"787856; 787857; 787032; 787033; 787023; 787024; 787833; 785534; 787852; 787853; 787831";Accessori per automazioni
206;XTO - Sistema 433 MHz SLH-SL-DS-RC;"787856; 787857; 787032; 787033; 787023; 787024; 787833; 785534; 787852; 787853; 787831";Accessori per automazioni
206;XTO - Sistema 433 MHz SLH-SL-DS-RC;"787856; 787857; 787032; 787033; 787023; 787024; 787833; 785534; 787852; 787853; 787831";Accessori per automazioni
206;XTO - Sistema 433 MHz SLH-SL-DS-RC;"787856; 787857; 787032; 787033; 787023; 787024; 787833; 785534; 787852; 787853; 787831";Accessori per automazioni
206;XTO - Sistema 433 MHz SLH-SL-DS-RC;"787856; 787857; 787032; 787033; 787023; 787024; 787833; 785534; 787852; 787853; 787831";Accessori per automazioni
208;Sistema 868MHz SLH LR;"787009; 7870091; 787010; 7870101; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
208;Sistema 868MHz SLH LR;"787009; 7870091; 787010; 7870101; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
208;Sistema 868MHz SLH LR;"787009; 7870091; 787010; 7870101; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
208;Sistema 868MHz SLH LR;"787009; 7870091; 787010; 7870101; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
208;Sistema 868MHz SLH LR;"787009; 7870091; 787010; 7870101; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
208;Sistema 868MHz SLH LR;"787009; 7870091; 787010; 7870101; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
208;Sistema 868MHz SLH LR;"787009; 7870091; 787010; 7870101; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
208;Sistema 868MHz SLH LR;"787009; 7870091; 787010; 7870101; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
208;Sistema 868MHz SLH LR;"787009; 7870091; 787010; 7870101; 787854; 787855; 787832; 787023; 787024; 787834; 785534";Accessori per automazioni
