codice_sku,quantita,immagine_sku,ordine_tipo_componente,tipo_componente,nome_modello,modelli_correlati,descrizione_breve,tensione_alimentazione,corrente_assorbita,tipo_motore,potenza_massima,coppia_massima,materiale,trattamento_superficiale,forza_spinta,rapporto_riduzione,numero_max_schede_collegabili,velocita_angolare,velocita_anta,lunghezza_anta_max,lunghezza_asta_max,spazio_fermata,controllo_motore,tipo_finecorsa,pignone,regolazione_forza,peso_anta_max,angolo_apertura_max,temperatura_esercizio,termoprotezione,grado_protezione_ip,peso_unita,frequenza_utilizzo,larghezza_anta_max,dimensioni,scheda_elettronica,arresti_meccanici,tempo_utilizzo_continuo,tempo_apertura,encoder,tipo_rallentamento,tipo_asta,dimensione_pilastro,dispositivo_sblocco,condensatore_spunto,lunghezza,unita_misura_prezzo,icona_badge,decodifica_radio,memoria_codici_radio,collegamento,note_tecniche,corsa_stelo,dimensioni_colonna,peso_anta_cantilever,portata_pompa,staffe_fissaggio,tipo_olio,tipo_utilizzo,velocita_stelo,capacita_sollevamento,corsa_max,lunghezza_con_adattatore,diametro_motore,velocita_max,velocita_max_anta,velocita_max_carrello,peso_max_porta,dimensione_max_porta,altezza_max_serranda,larghezza_max_serranda,diametro_albero_serranda,numero_canali,frequenza_emissione,frequenza_ricezione,distanza_max_fotocellule,consumo_max,tensione_alimentazione_gen,tensione_alimentazione_accessori,temperatura_esercizio_gen,peso_operatore,altezza_min_architrave,rumorosita,velocita_rotazione_motore,velocita_rallentamento,tipologia_installazione,tipo_motoriduttore,ingressi_morsettiera,uscite_morsettiera,numero_uscite_rele,portata_contatti,numero_spire_collegabili,numero_max_lettori_bus2easy,numero_max_codici_utente,numero_max_comandi,formato_tag,durata_media_batteria,tipo_allineamento,angolo_autoallineamento,angolo_orientamento_orizzontale,tipo_contatti,microinterruttori_scambio,altezza_profilo_gomma,connettore_rapido,connettore_estraibile,connessioni,luce_cortesia,temporizzazione_lampada_cortesia,chiusura_coperchio,caratteristiche,gestione,diametro_scatole_portamolle,raffreddamento,tensione_elettroserratura,livelli_sensibilita_spira
490123,1,490123.tif,9,Accessori,,,Cremagliera zincata 30x8 mod. 4 attacchi a saldare inclusi (conf. 4 pezzi da 1m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490124,1,490124.tif,9,Accessori,,,Cremagliera zincata 30x12 mod. 4 attacchi fissaggio mecc. inclusi (conf. 4 pezzi da 1m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490125,1,490125.tif,9,Accessori,,,Cremagliera zincata 30x8 mod. 4 attacchi fissaggio mecc. inclusi (conf. 4 pezzi da 1m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490333,1,490333.tif,9,Accessori,,,Cremagliera nylon 30x20 mod.4 con anima in acciaio (conf. 4pezzi da 1m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peso massimo del cancello: 400kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390178,1,390178.tif,9,Accessori,,,Kit n°4 viti di fissaggio ad avvitare (conf. da 4 kit) da abbinare a 1 m di 490333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104421,1,,0,Modello,C720,,,230V~ 50Hz,,Asincrono monofase 2 condensatori,300 W,,,,850 N,,,,,,,,,Elettronici di serie,Z20 modulo 4,,600 Kg,,-20°C ÷ +55°C,,IP44,19 Kg,,10 m,360 x 220 x 290 mm,Non compresa,,,,Integrato,,,,,16µF + 30µF,,,,,,,,,,400 Kg,,,,Residenziale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790291,1,,1,Apparecchiature Elettroniche,,,Scheda di comando E721 230V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790292,1,,1,Apparecchiature Elettroniche,,,Scheda di comando E724 230V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104422,1,,0,Modello,C721,,,230V~ 50Hz,,Asincrono monofase 2 condensatori,400 W,,,,1200 N,,,,,,,,,Elettronici di serie,Z20 modulo 4,,800 Kg,,-20°C ÷ +55°C,,IP44,21 Kg,,12 m,360 x 220 x 290 mm,Non compresa,,,,Integrato,,,,,20µF + 40µF,,,,,,,,,,600 Kg,,,,Residenziale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108700,1,,0,Modello,740,,,220-240V~ 50/60Hz,,Con spazzole 24V,75 W,,,,750 N,,,,,,,,,Elettronico di serie,Z20 modulo 4,,600 Kg,,-20°C ÷ +55°C,,IP44,"16,5 Kg",,10 m,360 x 220 x 290 mm,Non compresa,,,,Assoluto magnetico con BUS integrato,,,,,,,,,,,,,,,400 Kg,,,,Residenziale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108757,1,,0,Modello,740 C,,,220-240V~ 50/60Hz,,Con spazzole 24V,75 W,,,,750 N,,,,,,,,,Elettronico di serie,Z20 modulo 4,,600 Kg,,-20°C ÷ +55°C,,IP44,"17,2 Kg",,10 m,360 x 220 x 290 mm,E024S incorporata,,,,Assoluto magnetico con BUS integrato,,,,,,,,,,,,,,,400 Kg,,,,Residenziale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109703,1,,0,Modello,741,,,220-240V~ 50/60Hz,,Con spazzole 24V,100 W,,,,1100 N,,,,,,,,,Elettronico di serie,Z20 modulo 4,,800 Kg,,-20°C ÷ +55°C,,IP44,"18,5 Kg",,12 m,360 x 220 x 290 mm,Non compresa,,,,Assoluto magnetico con BUS integrato,,,,,,,,,,,,,,,600 Kg,,,,Residenziale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109757,1,,0,Modello,741 C,,,220-240V~ 50/60Hz,,Con spazzole 24V,100 W,,,,1100 N,,,,,,,,,Elettronico di serie,Z20 modulo 4,,800 Kg,,-20°C ÷ +55°C,,IP44,"19,2 Kg",,12 m,360 x 220 x 290 mm,E024S incorporata,,,,Assoluto magnetico con BUS integrato,,,,,,,,,,,,,,,600 Kg,,,,Residenziale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109806,1,,0,Modello,746 C,,,220-240V~ 50/60Hz,,Con spazzole 24V,150 W,,,,2300 N,,,,,,,,,Elettronico di serie,Z20 modulo 4,,1800 Kg,,-20°C ÷ +55°C,,IP44,27 Kg,,18 m,520 x 260 x 330 mm,E024S incorporata,,,,Assoluto magnetico con BUS integrato,,,,,,,,,,,,,,,1200 Kg,,,,Industriale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000,1,,0,Modello,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110001,1,,0,Modello,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110002,1,,0,Modello,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110003,1,,0,Modello,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110004,1,,0,Modello,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110005,1,,0,Modello,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110006,1,,0,Modello,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110007,1,,0,Modello,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110008,1,,0,Modello,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110009,1,,0,Modello,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110010,1,,0,Modello,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110011,1,,0,Modello,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
