codice_sku,quantita,immagine_sku,ordine_tipo_componente,tipo_componente,nome_modello,modelli_correlati,descrizione_breve,tensione_alimentazione,corrente_assorbita,tipo_motore,potenza_massima,coppia_massima,materiale,trattamento_superficiale,forza_spinta,rapporto_riduzione,numero_max_schede_collegabili,velocita_angolare,velocita_anta,lunghezza_anta_max,lunghezza_asta_max,spazio_fermata,controllo_motore,tipo_finecorsa,pignone,regolazione_forza,peso_anta_max,angolo_apertura_max,temperatura_esercizio,termoprotezione,grado_protezione_ip,peso_unita,frequenza_utilizzo,larghezza_anta_max,dimensioni,scheda_elettronica,arresti_meccanici,tempo_utilizzo_continuo,tempo_apertura,encoder,tipo_rallentamento,tipo_asta,dimensione_pilastro,dispositivo_sblocco,condensatore_spunto,lunghezza,unita_misura_prezzo,icona_badge,decodifica_radio,memoria_codici_radio,collegamento,note_tecniche,corsa_stelo,dimensioni_colonna,peso_anta_cantilever,portata_pompa,staffe_fissaggio,tipo_olio,tipo_utilizzo,velocita_stelo,capacita_sollevamento,corsa_max,lunghezza_con_adattatore,diametro_motore,velocita_max,velocita_max_anta,velocita_max_carrello,peso_max_porta,dimensione_max_porta,altezza_max_serranda,larghezza_max_serranda,diametro_albero_serranda,numero_canali,frequenza_emissione,frequenza_ricezione,distanza_max_fotocellule,consumo_max,tensione_alimentazione_gen,tensione_alimentazione_accessori,temperatura_esercizio_gen,peso_operatore,altezza_min_architrave,rumorosita,velocita_rotazione_motore,velocita_rallentamento,tipologia_installazione,tipo_motoriduttore,ingressi_morsettiera,uscite_morsettiera,numero_uscite_rele,portata_contatti,numero_spire_collegabili,numero_max_lettori_bus2easy,numero_max_codici_utente,numero_max_comandi,formato_tag,durata_media_batteria,tipo_allineamento,angolo_autoallineamento,angolo_orientamento_orizzontale,tipo_contatti,microinterruttori_scambio,altezza_profilo_gomma,connettore_rapido,connettore_estraibile,connessioni,luce_cortesia,temporizzazione_lampada_cortesia,chiusura_coperchio,caratteristiche,gestione,diametro_scatole_portamolle,raffreddamento,tensione_elettroserratura,livelli_sensibilita_spira
110032,1,,0,Modello,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110033,1,,0,Modello,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110034,1,,0,Modello,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110035,1,,0,Modello,PROD_194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110036,1,,0,Modello,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110037,1,,0,Modello,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787854,1,787854.tif,1,Apparecchiature Elettroniche,RP 868 SLH-DS,,Innesto 1 canale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787855,1,,1,Apparecchiature Elettroniche,RP2 868 SLH-DS,,Innesto 2 canali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787832,1,787832.tif,1,Apparecchiature Elettroniche,XF 868,,Modulo di frequenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7870071,1,,1,Apparecchiature Elettroniche,XT2 433 SLH LR,,Trasmittente 2 canali Nera (quantità multipla vendibile 16 pz.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787008,1,XT4_433_SLH-LR_cod.787008.psd,1,Apparecchiature Elettroniche,XT4 433 SLH LR,,Trasmittente 4 canali Bianca (quantità multipla vendibile 16 pz.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7870081,1,,1,Apparecchiature Elettroniche,XT4 433 SLH LR,,Trasmittente 4 canali Nera (quantità multipla vendibile 16 pz.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787831,2,787831.tif,1,Apparecchiature Elettroniche,XF 433,,Modulo di frequenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787852,1,787852.tif,1,Apparecchiature Elettroniche,RP 433 SLH,,Innesto 1 canale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787853,1,,1,Apparecchiature Elettroniche,RP2 433 SLH,,Innesto 2 canali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787834,1,787834.tif,1,Apparecchiature Elettroniche,PLUS1 868 MHz,,Ricevente pluricanale con antenna bipolare integrata,20 ÷ 30V - 24V~ (± 10%),10 mA / V  - 25 mA / V~,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tramite DECODER,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,20 ÷ 30V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787833,1,787833.tif,1,Apparecchiature Elettroniche,PLUS1 433 MHz,,Ricevente pluricanale con antenna bipolare integrata,20 ÷ 30V~ - 24V~ (± 10%),10 mA / V,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tramite DECODER,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,20 ÷ 30V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785535,1,785535.tif,1,Apparecchiature Elettroniche,DECODER SLHP,,Scheda di decodifica monocanale,20 ÷ 30V,30 mA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SLH,1000 codici (espandibile a 2000),A connettore (schede FAAC) e/o morsetto,,,,,,,,,,,,,,,,,,,,,,,,,,,20 ÷ 30V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404015,1,404015.tif,9,Accessori,Unità di programmazione SLH,,Unità di programmazione SLH per DECODER SLHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103054,1,103054.tif,9,Accessori,Radiocoder 868 SLH,,Radiocoder 868 SLH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103337,1,,9,Accessori,Radiocoder 433 SLH,,Radiocoder 433 SLH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785538,1,,9,Accessori,Software SLHP,,Software SLHP per programmare DECODER SLHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799349,1,799349.tif,9,Accessori,,,Mex SLH - Memoria supplementare 1000 codici per DECODER SLHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787456,1,787456.tif,1,Apparecchiature Elettroniche,XT4 433 RC,,Trasmittente 4 canali Grigio (quantità multipla vendibile 12 pz.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787856,1,787856.tif,1,Apparecchiature Elettroniche,RP1 433 RC,,Innesto 1 canale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787857,1,,1,Apparecchiature Elettroniche,RP2 433 RC,,Innesto 2 canali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401302,1,401302.tif,9,Accessori,XK10,,Pulsante a chiave e di comando,,,,,,,,,,,,,,,,,,,,,,-20 °C +55 °C,,IP54,,,,72 x 35 x 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a parete o su colonnetta,,,,,100 mA,,,,,,,,,,,1,,,,,,,,,,,,,
401044,1,401044.tif,9,Accessori,XK10 INOX,,Pulsante a chiave e di comando INOX,,,,,,,,,,,,,,,,,,,,,,-20 °C +55 °C,,IP54,,,,72 x 35 x 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401303,1,,9,Accessori,XK11,,Pulsante a chiave e di comando,,,,,,,,,,,,,,,,,,,,,,-20 °C +55 °C,,IP54,,,,72 x 35 x 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a parete o su colonnetta,,,,,100 mA,,,,,,,,,,,2,,,,,,,,,,,,,
401045,1,,9,Accessori,XK11 INOX,,Pulsante a chiave e di comando INOX,,,,,,,,,,,,,,,,,,,,,,-20 °C +55 °C,,IP54,,,,72 x 35 x 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71275101-10,1,,9,Accessori,,,Serratura con chiave personalizzata 1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401075,1,401075.tif,9,Accessori,,,Colonnetta alta H1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401080,1,401080.tif,9,Accessori,,,Colonnetta doppia H1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401064,1,401064.tif,9,Accessori,,,Adattatore tubo esterno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401065,1,401065.tif,9,Accessori,,,Adattatore per colonnetta o incasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401304,1,401304.tif,9,Accessori,XK10 B,,Pulsante a chiave e di comando,,,,,,,,,,,,,,,,,,,,,,-20 °C +55 °C,,IP54,,,,72 x 35 x 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a parete o su colonnetta,,,,,100 mA,,,,,,,,,,,1,,,,,,,,,,,,,
401046,1,401046.tif,9,Accessori,XK10 B INOX,,Pulsante a chiave e di comando INOX,,,,,,,,,,,,,,,,,,,,,,-20 °C +55 °C,,IP54,,,,72 x 35 x 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401305,1,,9,Accessori,XK11 B,,Pulsante a chiave e di comando,,,,,,,,,,,,,,,,,,,,,,-20 °C +55 °C,,IP54,,,,72 x 35 x 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a parete o su colonnetta,,,,,100 mA,,,,,,,,,,,2,,,,,,,,,,,,,
401047,1,,9,Accessori,XK11 B INOX,,Pulsante a chiave e di comando INOX,,,,,,,,,,,,,,,,,,,,,,-20 °C +55 °C,,IP54,,,,72 x 35 x 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790064,1,790064.tif,9,Accessori,,,XBR2 Interfaccia BUSRelay 2CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790065,1,790065.tif,9,Accessori,,,XBR4 Interfaccia BUSRelay 4CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401014,1,401014.tif,9,Accessori,T20 I,,Pulsanti a chiave e di comando,,,,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,IP54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad incasso,,,,,10 A / 250V,,,,,,,,,,,1,,,,,,,,,,,,,
401015,1,,9,Accessori,T21 I,,Pulsanti a chiave e di comando,,,,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,IP54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad incasso,,,,,10 A / 250V,,,,,,,,,,,2,,,,,,,,,,,,,
401017,1,,9,Accessori,T21 IF,,Pulsanti a chiave e di comando,,,,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,IP54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad incasso,,,,,10 A / 250V,,,,,,,,,,,2,,,,,,,,,,,,,
401012,1,401012.tif,9,Accessori,T20 E,,Pulsante a chiave e di comando,,,,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,IP54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a parete,,,,,10 A / 250V,,,,,,,,,,,1,,,,,,,,,,,,,
401013,1,,9,Accessori,T21 E,,Pulsante a chiave e di comando,,,,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,IP54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a parete,,,,,10 A / 250V,,,,,,,,,,,2,,,,,,,,,,,,,
401016,1,,9,Accessori,T21 EF,,Pulsante a chiave e di comando,,,,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,IP54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a parete,,,,,10 A / 250V,,,,,,,,,,,2,,,,,,,,,,,,,
720316,1,720316.tif,9,Accessori,,,Contenitore da incasso (T20 – T21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712052-61,1,,9,Accessori,,,Serratura a cilindro europeo e chiave personalizzata da 1 a 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10675201,2,,0,Modello,770N 230V,,,220-240V~ 50/60 Hz,,Asincrono monofase,380 W,330 Nm|dati riferiti a 230V~ 50Hz.,,,,,,6 °/s (*),,,,,,,,,500 Kg (vedi grafico),110° (140° e 180° con kit opzionale),-20°C ÷ + 55°C,140°C,IP67,12 Kg (con cassetta portante 14 Kg),S3 30%,"2 m (3,5 m con elettroserratura)","362 x 153 x 127 (cassetta portante 430 x 307,5 x 214) mm",Non compresa,,,,,,,,Sblocco manuale con doppia leva (Brevettato),"12,5μF 400V",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104100,2,104100.tif,0,Modello,S450H CBAC,,Attuatore oleodinamico 24V,220-240V~ 50/60 Hz,,Con spazzole 24V,60 W,,,,> 5000 N,,,,,,,,,,,,,110°,-20°C ÷ +55°C,,IP55,"6,5 Kg",Uso continuo,3 m,1131 x 85 x 119 mm,Non compresa,in dotazione di serie,,,SAFEcoder integrato,,,,,,,,,,,,,311 mm,,,,Posteriore multiposizione ad avvitare - anteriore ad avvitare regolabile,FAAC HP OIL,,>25 mm/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104101,1,104101.tif,0,Modello,S450H SB,,Attuatore oleodinamico 24V,220-240V~ 50/60 Hz,,Con spazzole 24V,60 W,,,,> 5000 N,,,,,,,,,,,,,110°,-20°C ÷ +55°C,,IP55,"6,5 Kg",Uso continuo,2 m,1131 x 85 x 119 mm,Non compresa,in dotazione di serie,,,SAFEcoder integrato,,,,,,,,,,,,,311 mm,,,,Posteriore multiposizione ad avvitare - anteriore ad avvitare regolabile,FAAC HP OIL,,>25 mm/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785200,1,785200.tif,1,Apparecchiature Elettroniche,CN 60 E,,Unità di controllo,,,,,,,,,,,,,,,,,,,,,,-20°C ÷ + 55°C,,IP20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingresso test,fino a due serie composte da 4 coste di sicurezza resistive 8K2 in parallelo,,,,
785529,1,785529.tif,9,Accessori,FG1 monocanale,,Rilevatori di masse metalliche,,,,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24V,,,,,,,,su guida DIN,,,,,250 mA / 24V,1,,,,,,,,,,,,,,,,,,,,,,,4
785527,1,785527.tif,9,Accessori,FG2 bicanale,,Rilevatori di masse metalliche,,,,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24V,,,,,,,,su guida DIN,,,,,250 mA / 24V,2,,,,,,,,,,,,,,,,,,,,,,,4
790904,1,790904.tif,9,Accessori,MINISERVICE,,Alimentatore supplementare,,,,35 VA W,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230V~ (+5% - 10%) 50(60) Hz,500 mA / 24V,,,,,,,,,,,,10 A / 24V,,,,,,,,,,,,,,,,,,,,,,,12V~,
720050,1,,9,Accessori,Contenitore MINISERVICE,,Protezione IP65,,,,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404039,1,404039.tif,9,Accessori,XKP B INOX,,Combinatore a tastiera,,,,35 VA W,,,,,,,,,,,,,,,,,,-20 °C +55 °C,,IP54,,,,72 x 21 x 100 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230V~ (+5% - 10%) 50(60) Hz,500 mA / 24V,,,,,,,a parete o su colonnetta,,,,,10 A / 24V,,,255,2 (fino a 4 con adattatore XBR4),,,,,,,,,,,,,,,,,,,12V~,
404037,1,,9,Accessori,XKP W 433 INOX,,Trasmittente via radio a combinazione,,,,,,,,,,,,,,,,,,,,,,-20 °C +55 °C,,IP54,,,,72 x 21 x 100 mm,,,,,,,,,,,,,,SLH: Rolling code criptato ad autoapprendimento,,,,,,,,,,,,,,,,,,,,,,,,,433.92 MHz,,,,Alimentazione a batteria CR2450 3 W qt. 2,,,,,,,,a parete o su colonnetta,,,,,,,,255,4,,2 anni,,,,,,,,,,,,,,,,,,
404038,1,404038.tif,9,Accessori,XKP W 868 INOX,,Trasmittente via radio a combinazione,,,,,,,,,,,,,,,,,,,,,,-20 °C +55 °C,,IP54,,,,72 x 21 x 100 mm,,,,,,,,,,,,,,SLH: Rolling code criptato ad autoapprendimento,,,,,,,,,,,,,,,,,,,,,,,,,868.35 MHz,,,,Alimentazione a batteria CR2450 3 W qt. 2,,,,,,,,a parete o su colonnetta,,,,,,,,255,4,,2 anni,,,,,,,,,,,,,,,,,,
785102,1,785102-print.psd,9,Accessori,XP 20 D,,Fotocellula da parete orientabile,,Rx (30 mA) + Tx (20 mA),,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,IP54,,,,"41,5 x 42,5 x 130 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 m,,24V,,,,,,,,a parete,,,,,60 VA / 24 W,,,,,,,,"± 7° (20m) ± 13,5° (5m)",-90° +90°,N.C.,,,,,,,,,,,,,,
785103,2,785103.tif,9,Accessori,XP 20B D,,Fotocellula da parete orientabile,,Rx (10 mA) + Tx (10 mA),,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,IP54,,,,"41,5 x 42,5 x 130 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 m,,"BUS 2easy, a 2 fili non polarizzati 24V",,,,,,,,a parete,,,,,,,,,,,,,"± 7° (20 m) ± 13,5° (5 m)",-90° +90°,,,,,,,,,,,,,,,
401070,1,401070.tif,9,Accessori,,,Colonnetta bassa H500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785104,1,785104.tif,9,Accessori,XP 20W D,,Fotocellula da parete orientabile,,Rx (30 mA) + Tx (40 mA a batteria o 5 mA a 24V,,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,IP54,,,,"41,5 x 42,5 x 130 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 m,,Rx:12 ÷ 24V~ - 12 ÷ 24 V,,,,,,,,a parete,,,,,,,,,,,,,"± 7° (20 m) ± 13,5° (5 m)",-90° +90°,,,,,,,,,,,,,,,
105128,1,105128.tif,9,Accessori,,,Batteria CR2 3V al litio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785105,1,,9,Accessori,XP 30,,Fotocellula da parete,,Rx (30 mA) + Tx (20 mA),,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,IP54,,,,"55,4 x 21,5 x 78,4 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 m,,24V,,,,,,,,a parete/colonnetta,,,,,60 VA / 24 W,,,,,,,Automatica,"± 7° (20m) ± 13,5° (5m)",,Relay - N.C./N.O.,,,,,,,,,,,,,,
7851051,1,,9,Accessori,XP 30 INOX,,Fotocellula da parete,,Rx (30 mA) + Tx (20 mA),,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,IP54,,,,"55,4 x 21,5 x 78,4 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 m,,24V,,,,,,,,a parete/colonnetta,,,,,60 VA / 24 W,,,,,,,Automatica,"± 7° (20m) ± 13,5° (5m)",,Relay - N.C./N.O.,,,,,,,,,,,,,,
785106,1,785106.tif,9,Accessori,XP 30B,,Fotocellula da parete,,Rx (25 mA) + Tx (15 mA),,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,IP54,,,,"55,4 x 21,5 x 78,4 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 m,,"BUS 2easy, a 2 fili non polarizzati 24V",,,,,,,,a parete/colonnetta,,,,,,,,,,,,Automatica,"± 7° (20m) ± 13,5° (5m)",,,,,,,,,,,,,,,,
7851061,1,,9,Accessori,XP 30B INOX,,Fotocellula da parete,,Rx (25 mA) + Tx (15 mA),,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,IP54,,,,"55,4 x 21,5 x 78,4 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 m,,"BUS 2easy, a 2 fili non polarizzati 24V",,,,,,,,a parete/colonnetta,,,,,,,,,,,,Automatica,"± 7° (20m) ± 13,5° (5m)",,,,,,,,,,,,,,,,
105536,1,,9,Accessori,XS10 KIT,,"Costa di sicurezza (L=2,5M)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105538,1,,9,Accessori,XS30 KIT,,"Costa di sicurezza (L=2,5M)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
