Product,Page,Spec_Field,nome_modello1,codice_sku1,value1,nome_modello2,codice_sku2,value2,nome_modello3,codice_sku3,value3,nome_modello4,codice_sku4,value4,nome_modello5,codice_sku5,value5,nome_modello6,codice_sku6,value6,nome_modello7,codice_sku7,value7,nome_modello8,codice_sku8,value8,nome_modello9,codice_sku9,value9,nome_modello10,codice_sku10,value10,nome_modello11,codice_sku11,value11,nome_modello12,codice_sku12,value12,nome_modello13,codice_sku13,value13,nome_modello14,codice_sku14,value14,nome_modello15,codice_sku15,value15,nome_modello16,codice_sku16,value16,nome_modello17,codice_sku17,value17
S418,072-073,Motore elettrico,S418 24V,104301,Con spazzole 24V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Peso,S418 24V,104301,6 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Peso max anta,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Peso max anta cantilever,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Peso max porta,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Peso operatore,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Pignone,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Portata gruppo motore-pompa,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Potenza max,S418 24V,104301,35 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Raffreddamento,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Rapporto di riduzione,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Regolazione della forza,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Regolazione velocità e controllo motore,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Rumorosità,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Spazio di fermata,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Staffe di fissaggio,S418 24V,104301,Attacco posteriore ad avvitare e regolabile - attacco anteriore ad avvitare e regolabile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Temperatura ambiente di esercizio,S418 24V,104301,-20°C ÷ + 55°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Tempo di apertura,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Tempo di utilizzo continuo (ROT),S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Temporizzazione lampada di cortesia,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Tensione di alimentazione di rete,S418 24V,104301,220-240V~ 50/60 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Termoprotezione,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Tipo di asta,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Tipo di materiale,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Tipo di motoriduttore,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Tipo di olio,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Tipo di rallentamento,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Tipo di trattamento,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Tipo di utilizzo,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Velocità angolare max,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Velocità dell'anta,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Velocità di rallentamento,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Velocità di rotazione motore,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Velocità max,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Velocità max anta,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Velocità max carrello,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,Velocità max stelo,S418 24V,104301,37 mm/s (con E124),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,"da 4,5 m a 5 m",S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,da 5 m a 7 m,S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,"da 7 m a 7,5 m",S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,"da 7,5 m a 8 m",S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S418,072-073,"fino a 4,5 m",S418 24V,104301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,1,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,2,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,620 Rapida,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,620 Standard,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,620 Standard ARTICOLATA,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
