page;product_name;model_name;model_sku;price;codici_modelli
120;741 C;741 C con encoder;109602;1.110,00;109602
122;746 C;746 C Z16;109745;1.208,00;"109745; 109746"
122;746 C;746 C Z20;109746;1.208,00;"109745; 109746"
124;844 C;844 C Z16;109925;1.691,00;"109925; 109926"
124;844 C;844;109926;1.158,00;"109925; 109926"
126;844 3PH;844 C 3PH;109928;2.014,00;"109928; 109904"
126;844 3PH;844 R 3PH;109904;1.310,00;"109928; 109904"
128;884 MC 3PH;884 MC 3PH;109885;4.300,00;109885
130;C851;C851;109903;4.942,00;109903
134;D600;D600;110600;477,00;110600
136;D700 HS;D700 HS;110602;494,00;110602
138;D1000;D1000;110601;580,00;110601
148;550;550 ITT;110549;930,00;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125"
148;550;550 Slave;D550 ITT;624,00;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125"
148;550;550 L ITT;110123;930,00;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125"
148;550;550 L Slave;110553;624,00;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125"
148;550;;D550 Slave S/L;;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125"
148;550;;110124;;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125"
148;550;;110562;;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125"
148;550;;D550 L ITT;;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125"
148;550;;110127;;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125"
148;550;;110558;;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125"
148;550;;D550 L Slave;;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125"
148;550;;110125;;"110549; D550 ITT; 110123; 110553; D550 Slave S/L; 110124; 110562; D550 L ITT; 110127; 110558; D550 L Slave; 110125"
150;580 - 593;580 CBAC;104501;1.181,00;"104501; 104502; 110597"
150;580 - 593;580 SB;104502;1.154,00;"104501; 104502; 110597"
150;580 - 593;593;110597;898,00;"104501; 104502; 110597"
154;390 230V;390 230V;104570;667,00;104570
156;560;560 CBAC;104561;1.527,00;"104561; 104562"
156;560;560 SB;104562;1.465,00;"104561; 104562"
