page;nome_modello;sku;confezioni
102;S800H ENC CBAC 100°;108720;<b>S800H ENC comprende:</b> un attuatore oleodinamico con blocco idraulico in apertura/chiusura <b>(CBAC)</b> o senza blocco <b>(SBW)</b> , un encoder assoluto magnetico, una chiave di sblocco e regolazione.
102;S800H ENC CBAC 180°;108722;<b>S800H ENC comprende:</b> un attuatore oleodinamico con blocco idraulico in apertura/chiusura <b>(CBAC)</b> o senza blocco <b>(SBW)</b> , un encoder assoluto magnetico, una chiave di sblocco e regolazione.
102;S800H ENC SBW 100°;108724;<b>S800H ENC comprende:</b> un attuatore oleodinamico con blocco idraulico in apertura/chiusura <b>(CBAC)</b> o senza blocco <b>(SBW)</b> , un encoder assoluto magnetico, una chiave di sblocco e regolazione.
102;S800H ENC SBW 180°;108725;<b>S800H ENC comprende:</b> un attuatore oleodinamico con blocco idraulico in apertura/chiusura <b>(CBAC)</b> o senza blocco <b>(SBW)</b> , un encoder assoluto magnetico, una chiave di sblocco e regolazione.
104;S800 ENC CBAC 100°;108800;<b>S800 ENC comprende:</b> un attuatore oleodinamico con blocco idraulico in apertura/chiusura <b>(CBAC)</b> o senza blocco <b>(SBW)</b> , un encoder assoluto magnetico, una chiave di sblocco e regolazione.
104;S800 ENC CBAC 180°;108801;<b>S800 ENC comprende:</b> un attuatore oleodinamico con blocco idraulico in apertura/chiusura <b>(CBAC)</b> o senza blocco <b>(SBW)</b> , un encoder assoluto magnetico, una chiave di sblocco e regolazione.
104;S800 ENC SBW 100°;108802;<b>S800 ENC comprende:</b> un attuatore oleodinamico con blocco idraulico in apertura/chiusura <b>(CBAC)</b> o senza blocco <b>(SBW)</b> , un encoder assoluto magnetico, una chiave di sblocco e regolazione.
104;S800 ENC SBW 180°;108803;<b>S800 ENC comprende:</b> un attuatore oleodinamico con blocco idraulico in apertura/chiusura <b>(CBAC)</b> o senza blocco <b>(SBW)</b> , un encoder assoluto magnetico, una chiave di sblocco e regolazione.
108;C4000I;109001;<b>C4000I comprende:</b> un attuatore elettromeccanico in bassa tensione con apparecchiatura elettronica E4000I, pignone per cremagliera, una chiave di sblocco e accessori di fissaggio
110;C720 24V;109320;<b>C720 comprende:</b> un attuatore elettromeccanico in bassa tensione con apparecchiatura elettronica E721, pignone per cremagliera, una chiave di sblocco, piastra di fondazione.
112;C721 24V;109321;<b>C721 comprende:</b> un attuatore elettromeccanico in bassa tensione con apparecchiatura elettronica E721, pignone per cremagliera, una chiave di sblocco, piastra di fondazione. Il C721 comprende la serratura di sblocco con chiave personalizzabile.
