Page,Product,nome_modello,codice_sku,(in base alla frequenza scelta 433MHz o 868MHz),") e nasce per la realizzazione di impianti altamente professionali in cui sia richiesta la programmazione dei radiocomandi e delle schede di memoria con codici dedicati tramite unità di programmazione e/o tramite software a PC. Ciò consente inoltre la creazione dei archivi a PC dei codici presenti su ogni impianto realizzato, agevolando di conseguenza la gestione dell’impianto (aggiunta codici radio da remoto).",Altezza max serranda,Altezza min architrave,Altezza profilo in gomma,Angolo max apertura anta,Apparecchiatura elettronica,Arresti meccanici integrati in apertura e chiusura,Capacità di memoria 1000 codici espandibili fino a,Capacità di sollevamento,Collegamento,Condensatore di spunto,Coppia max,Corsa dello stelo,Diametro albero serranda,Diametro scatole portamolle,Dimensioni (LxPxH),Encoder,Finecorsa,Forza max di spinta,Frequenza di emissione,Frequenza di ricezione,Frequenza di utilizzo,"Frequenza d’utilizzo 433,92 - 868,35 MHz","Frequenza d’utilizzo 433,92 MHz","Frequenza d’utilizzo 868,35 MHz","Frequenza d’utilizzo 868,35 MHz o 433,92 MHz",Grado di protezione,Larghezza max anta,Larghezza max serranda,Lunghezza max anta,Lunghezza max asta,Memoria codici radio,Modulo di frequenza,Motore elettrico,Numero max LETTORI collegabili su scheda con Bus2Easy,Numero max schede di decodifica collegabili,Numero max. di codici utente,Numero max. di comandi,Peso,Peso max anta,Peso max anta cantilever,Peso max porta,Peso operatore,Pignone,Portata contatti,Portata gruppo motore-pompa,Potenza max,Protocollo radio basato sulla modulazione di frequenza con prestazioni ottimali in termini di autonomia e durata della batteria; la trasmissione radio è protetta dall'algoritmo di crittografia simmetrica,Rapporto di riduzione,Regolazione della forza,Regolazione velocità e controllo motore,Spazio di fermata,Staffe di fissaggio,Temperatura ambiente di esercizio,Temperatura di esercizio,Tempo di apertura,Tempo di utilizzo continuo (ROT),Tensione di alimentazione,Tensione di alimentazione accessori,Tensione di alimentazione di rete,Tensione di alimentazione elettroserratura,Termoprotezione,Tipo di asta,Tipo di olio,Tipo di rallentamento,Tipo di utilizzo,Velocità angolare max,Velocità dell'anta,Velocità di rallentamento,Velocità di rotazione motore,Velocità max,Velocità max anta,Velocità max carrello,Velocità max stelo,"le trasmittenti e le riceventi sono in grado di comunicare a 868MHz-433MHz in time sharing, senza dover scegliere preventivamente la frequenza di lavoro, semplificando così la gestione delle attività di installazione/manutenzione."
104-106,S800 ENC,S800 ENC CBAC 100°,108800,,,,,,,Non compresa,,,,,,,,,,Attuatore 380 x 220 x 160 - cassetta portante 507 x 283 x 200 mm,,,,,,45 cicli/ora,,,,,IP67,2 m,,,,,,Asincrono monofase,,,,,16 Kg,800 Kg,,,,,,,220 W,,,,,,,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,,,FAAC HP OIL,,,"7,8°/s",,,,,,,,
104-106,S800 ENC,S800 ENC SBW 100°,108802,,,,,,,Non compresa,,,,,,,,,,Attuatore 450 x 220 x 160 - cassetta portante 507 x 283 x 200 mm,,,,,,30 cicli/ora,,,,,IP67,4 m,,,,,,Asincrono monofase,,,,,"16,5 Kg",800 Kg,,,,,,,220 W,,,,,,,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,,,FAAC HP OIL,,,"7,8°/s",,,,,,,,
104-106,S800 ENC,S800 ENC CBAC 180°,108801,,,,,,,Non compresa,,,,,,,,,,Attuatore 450 x 220 x 160 - cassetta portante 507 x 283 x 200 mm,,,,,,30 cicli/ora,,,,,IP67,2 m,,,,,,Asincrono monofase,,,,,"16,5 Kg",800 Kg,,,,,,,220 W,,,,,,,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,,,FAAC HP OIL,,,"7,8°/s",,,,,,,,
104-106,S800 ENC,S800 ENC SBW 180°,108803,,,,,,,Non compresa,,,,,,,,,,Attuatore 450 x 220 x 160 - cassetta portante 507 x 283 x 200 mm,,,,,,30 cicli/ora,,,,,IP67,4 m,,,,,,Asincrono monofase,,,,,"16,5 Kg",800 Kg,,,,,,,220 W,,,,,,,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,,,FAAC HP OIL,,,"7,8°/s",,,,,,,,
108-109,C4000I,C4000I,109001,,,,,,,,,,,,,,,,,110 x 180 x 250 mm,,,125 N,,,,,,,,IP30,8 m,,,,,,24 V,,,,,"3,5 kg",400 kg,250 kg,,,Z16 modulo 4,,,150 W,,,,,,,-20 °C +55 °C,,,Continuo,,,220-240V ~ 50/60 Hz,,,,,,Residenziale,,16 m/min,,,,,,,
110-111,C720,C720 24V,109320,,,,,,,E721 incorporata,,,,,,18 Nm,,,,304 x 180 x 282 mm,,Magnetico,320 N,,,100 %,,,,,IP44,15 m,,,,,,Motore a spazzole 24V,,,,,8 Kg,400 Kg,,,,Z28 modulo 4,,,170 W,,1:49,Tramite scheda elettronica,,,,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,,,,,,,18 m/min (regolabile),,,,,,,
112-113,C721,C721 24V,109321,,,,,,,E721 incorporata,,,,,,30 Nm,,,,304 x 180 x 282 mm,,Magnetico,530 N,,,100 %,,,,,IP44,15 m,,,,,,Motore a spazzole 24V,,,,,8 Kg,800 Kg,,,,Z28 modulo 4,,,290 W,,1:49,Tramite scheda elettronica,,,,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,,,,,,,18 m/min (regolabile),,,,,,,
122-123,746 C,746 C Z16,109745,,,,,,,,,,,,12.5 µF,,,,,,,,830 N,,,Uso continuo*,,,,,IP44,,,40 m,,,,,,,,,16.2 Kg,600 Kg,,,,Z16 modulo 4,,,150 W,,,,,30 mm,,-20° ÷ +55°C *,,,,,,220-240V~ 50/60 Hz,,120°C autoripristinanti,,,,,,,,,,9.6 m/min,,,
122-123,746 C,746 C Z20,109746,,,,,,,,,,,,12.5 µF,,,,,,,,665 N,,,Uso continuo*,,,,,IP44,,,50 m,,,,,,,,,16.5 Kg,400 Kg,,,,Z20 modulo 4,,,150 W,,,,,30 mm,,-20° ÷ +55°C *,,,,,,220-240V~ 50/60 Hz,,120°C autoripristinanti,,,,,,,,,,12 m/min,,,
124-125,844 C,844 C Z16,109925,,,,,,,,,,,,18 µF,,,,,,,,1300 N,,,Uso continuo,,,,,IP44,,,40 m,,,,,,,,,16.9 Kg,1800 Kg,,,,Z16 modulo 4,,,230 W,,,,,30 mm,,-20° ÷ +55°C *,,,,,,220-240V~ 50/60 Hz,,120°C autoripristinanti,,,,,,,,,,9.6 m/min,,,
126-127,844 3PH,844 C 3PH,109928,,,,,,,Incorporata,,,,,,62 Nm (*),,,,277 x 155 x 388 mm,No,Induttivo con lamierino,2500 N (Z12) - 1900 N (Z16) - 1500 N (Z20) (*),,,70%,,,,,IP44,30 m (Z12) - 40 m (Z16) - 50 m (Z20),,,,,,Asincrono trifase,,,,,15 Kg,2.200 Kg (Z12) - 1.600 Kg (Z16) - 1.000 Kg (Z20),,,,No,,,950 W,,1:30,,No,,,-20°C ÷ +55°C,,,,,,380-415V~ 3 50/60 Hz,,155°C,,FAAC HP OIL,,,,"9,5 m/min (Z16) - 7,2 m/min (Z12) - 12,0 m/min (Z20)",,,,,,,
128-129,884 MC 3PH,884 MC 3PH,109885,,,,,,,E844 3PH incorporata,,,,,,0 ÷ 155 Nm (*),,,,430 x 310 x 586 mm,No,Microinterrutore a levetta e rullino,3.200 N (*),,,100% (fino a 2.000 Kg) - 50% (oltre 2.000 Kg),,,,,IP55,42 m,,,,,,Asincrono trifase,,,,,50 Kg,3.500 Kg,,,,No,,,850 W,,"1:43,2",Frizione bidisco in bagno d’olio,No,,,-20°C ÷ +65°C,,,,,,220-240V / 380-415V~ 3PH 50/60 Hz,,155°C,,FAAC HP OIL,,,,,,,,,,,
130-132,C851,C851,109903,,,,,,,E850S incorporata,,,,,,168 Nm (*),,,,510 x 295 x 467 mm,,meccanici integrati + magnetico,3.000 N (*),,,100% (T=25 °C),,,,,IP54,20 m,,,,,,1.1 KW trifase a quattro poli,,,,,40 Kg,1.800 Kg,,,,Z28 modulo 4,,,1.800 W,,,,Su scheda elettronica,,,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,75°C,,,,,,20 ÷ 40 m/min (regolabile),,,,,,,
134-135,D600,D600,110600,,,,35 mm,,,E600 incorporata,,,,,,,,,,360 x 200 x 145 mm,Elettronico,,600 N,,,Uso continuo,,,,,Solo per uso interno (IP20),,,,,,,Con spazzole 24V,,,,,"6,2 Kg",,,,,,,,220 W,,,,,,,-20 °C ÷ +55 °C,,,,,,220-240V~ 50/60 Hz,,,,,,,,,"1,3 m/min",,,,"6,6 m/min",,
136-137,D700 HS,D700 HS,110602,,,,35 mm,,,E700HS incorporata,,,,,,,,,,360 x 200 x 145 mm,Elettronico,,700 N,,,Uso continuo,,,,,Solo per uso interno (IP20),,,,,,,Con spazzole 24V,,,,,"6,3 Kg",,,,,,,,440 W,,,,,,,-20 °C ÷ +55 °C,,,,,,220-240V~ 50/60 Hz,,,,,,,,,"2,5 m/min",,,,12 m/min,,
138-139,D1000,D1000,110601,,,,35 mm,,,E1000 integrata,,,,,,,,,,360 x 200 x 145 mm,Elettronico,,1000 N,,,Uso continuo,,,,,Solo per uso interno (IP20),,,,,,,Con spazzole 24V,,,,,"6,4 Kg",,,,,,,,350 W,,,,,,,-20 °C ÷ +55 °C,,,,,,220-240V~ 50/60 Hz,,,,,,,,,"1,3 m/min",,,,"6,6 m/min",,
148-149,550,550 ITT,,,,,,,,E550 incorporata,,,,,,300 Nm (*),,,,670 x 175 x 120 mm,Ottico,,,,,S3 - 30%,,,,,Solo per uso interno (IP31),,,,,,,Asincrono monofase,,,,,"7,5 Kg",,,10 Kg/mq,,,,,350 W,,,,,,,-20 °C ÷ +55 °C,,15 s,,,,220-240V~ 50/60 Hz,,140 °C,,,,,12 °/s (*),,,,,,,,
148-149,550,550 Slave,,,,,,,,Non compresa,,,,,,250 Nm (*),,,,Dimensione max porta (LxH),Ottico,,,,,S3 - 30%,,,,,Solo per uso interno (IP31),,,,,,,Asincrono monofase,,,,,"7,5 Kg",,,10 Kg/mq,,,,,280 W,,,,,,,-20 °C ÷ +55 °C,,22 s,,,,220-240V~ 50/60 Hz,,140 °C,,,,,8 °/s (*),,,,,,,,
148-149,550,550 L ITT,,,,,,,,E550 incorporata,,,,,,250 Nm (*),,,,"3,00 x 2,70 (**)",Ottico,,,,,S3 - 30%,,,,,Solo per uso interno (IP31),,,,,,,Asincrono monofase,,,,,"7,5 Kg",,,10 Kg/mq,,,,,280 W,,,,,,,-20 °C ÷ +55 °C,,22 s,,,,220-240V~ 50/60 Hz,,140 °C,,,,,8 °/s (*),,,,,,,,
148-149,550,550 L Slave,,,,,,,,Non compresa,,,,,,250 Nm (*),,,,"4,00 x 3,00 (**)",Ottico,,,,,S3 - 30%,,,,,Solo per uso interno (IP31),,,,,,,Asincrono monofase,,,,,"7,5 Kg",,,10 Kg/mq,,,,,280 W,,,,,,,-20 °C ÷ +55 °C,,22 s,,,,220-240V~ 50/60 Hz,,140 °C,,,,,8 °/s (*),,,,,,,,
154-155,390 230V,390 230V,104570,,,,,,120°,Non compresa,,,,,,250 Nm (*),,,,412 x 133 x 134 mm,,,,,,S3 - 30%,,,,,IP44,"1,8 m (3 m con elettroserratura)",,,,,,Asincrono monofase,,,,,"11,5 Kg",,,,,,,,280 W,,,,,,,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,140°C,,,,,8 °/s (*),,,,,,,,
156-157,560,560 CBAC,104561,,,,,,,Non compresa,,,,,,320 Nm (*),,,,480 x 85 x 110 mm,,,-,,,80 cicli/ora,,,,,IP55,"1,50 m (singolo pannello)",,,,,,Asincrono monofase,,,,,12 Kg,,,,,,,1 lpm (*),220 W,,,,,,,-20 °C ÷ +55 °C,,,,,,220-240V~ 50/60 Hz,,120°C,,FAAC HP OIL,,,"12,4 °/s (*)",,,,,,,,
156-157,560,560 SB,104562,,,,,,,Non compresa,,,,,,320 Nm (*),,,,480 x 85 x 110 mm,,,-,,,80 cicli/ora,,,,,IP55,"2,00 m (singolo pannello)",,,,,,Asincrono monofase,,,,,12 Kg,,,,,,,1 lpm (*),220 W,,,,,,,-20 °C ÷ +55 °C,,,,,,220-240V~ 50/60 Hz,,120°C,,FAAC HP OIL,,,"12,4 °/s (*)",,,,,,,,
160-163,B614,B614,,,,,,,,E614,,,,,,300 Nm,,,,360 x 250 x 1163 mm (Base di installazione 305 x 230 mm),Incrementale integrato nel motore,,,,,Utilizzo continuo,,,,,IP55 (scheda di controllo) - IP44,,,,6 m,,,Con spazzole 24V,,,,,40 Kg,,,,,,,,165 W,,,,,,,-20°C ÷ +55°C,,< 2 s (80°- 3m),,,,220-240V ~ 50/60 Hz,,,Rettangolare e tonda,,Elettronico + meccanico,,,,,,,,,,
164-167,615BPR,615BPR Standard,,,,,,,,615BPR incorporata,,,,,,0 ÷ 400 Nm (*),,,,270 x 140 x 1015 mm,No - sicurezza oleodinamica antischiacciamento,,,,,50%,,,,,IP44,,,,5 m,,,Asincrono monofase,,,,,34 Kg,,,,,,,"1,5 lpm (*)",220 W,,,,,,,-20°C ÷ +55°C,,"5,7 s (90°)",,,,220-240V~ 50/60 Hz,,120°C,Rettangolare - Rettangolare con siepe - Rettangolare articolata - Tonda con luci,FAAC HP OIL,Elettronico - Regolabile,,,,,1.400 rpm (*),,,,,
168-171,620 Standard,Asta,,,,,,,,624BLD incorporata,,,,,,0 ÷ 220 / 0 ÷ 180 Nm (*),,,,350 x 170 x 1080 mm,No - sicurezza oleodinamica antischiacciamento,,,,,70%,,,,,IP44,,,,5 m,,,Asincrono monofase,,,,,73 Kg,,,,,,,"0,75-1 lpm (*)",220 W,,,,,,,-20°C ÷ +55°C,,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",,,,220-240V~ 50/60 Hz,,120°C,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,FAAC HP OIL,Elettronico - Regolabile con camme,,,,,1400 rpm (*),,,,,
168-171,620 Standard,Lunghezza asta (mm),,,,,,,,TABELLA CODICI DI ORDINAZIONE BARRIERA,,,,,,0 ÷ 220 / 0 ÷ 180 Nm (*),,,,350 x 170 x 1080 mm,No - sicurezza oleodinamica antischiacciamento,,,,,70%,,,,,IP44,,,,5 m,,,Asincrono monofase,,,,,73 Kg,,,,,,,Tipo di materiale,220 W,,,,,,,-20°C ÷ +55°C,,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",,,,220-240V~ 50/60 Hz,,Raffreddamento,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,FAAC HP OIL,Elettronico - Regolabile con camme,,,,,1400 rpm (*),,,,,
168-171,620 Standard,Codice versione SX,,,,,,,,Aste tonde S - Ø 75mm ( etichette adesive non incluse) e accessori specifici,,,,,,0 ÷ 220 / 0 ÷ 180 Nm (*),,,,350 x 170 x 1080 mm,No - sicurezza oleodinamica antischiacciamento,,,,,70%,,,,,IP44,,,,5 m,,,Asincrono monofase,,,,,73 Kg,,,,,,,Acciaio,220 W,,,,,,,-20°C ÷ +55°C,,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",,,,220-240V~ 50/60 Hz,,-,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,FAAC HP OIL,Elettronico - Regolabile con camme,,,,,1400 rpm (*),,,,,
168-171,620 Standard,Codice versione DX,,,,,,,,Aste rettangolari e accessori specifici,,,,,,0 ÷ 220 / 0 ÷ 180 Nm (*),,,,350 x 170 x 1080 mm,No - sicurezza oleodinamica antischiacciamento,,,,,70%,,,,,IP44,,,,5 m,,,Asincrono monofase,,,,,73 Kg,,,,,,,Tipo di trattamento,220 W,,,,,,,-20°C ÷ +55°C,,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",,,,220-240V~ 50/60 Hz,,-,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,FAAC HP OIL,Elettronico - Regolabile con camme,,,,,1400 rpm (*),,,,,
168-171,620 Standard,620 Standard,,,,,,,,Aste rettangolari e accessori specifici,,,,,,0 ÷ 220 / 0 ÷ 180 Nm (*),,,,350 x 170 x 1080 mm,No - sicurezza oleodinamica antischiacciamento,,,,,70%,,,,,IP44,,,,5 m,,,Asincrono monofase,,,,,73 Kg,,,,,,,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,220 W,,,,,,,-20°C ÷ +55°C,,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",,,,220-240V~ 50/60 Hz,,-,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,FAAC HP OIL,Elettronico - Regolabile con camme,,,,,1400 rpm (*),,,,,
168-171,620 Standard,620 rettangolare standard,,,,,,,,Aste rettangolari e accessori specifici,,,,,,0 ÷ 220 / 0 ÷ 180 Nm (*),,,,350 x 170 x 1080 mm,No - sicurezza oleodinamica antischiacciamento,,,,,70%,,,,,IP44,,,,5 m,,,Asincrono monofase,,,,,73 Kg,,,,,,,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,220 W,,,,,,,-20°C ÷ +55°C,,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",,,,220-240V~ 50/60 Hz,,-,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,FAAC HP OIL,Elettronico - Regolabile con camme,,,,,1400 rpm (*),,,,,
172-175,620 Rapida,Asta,,,,,,,,624BLD incorporata,,,,,,0 ÷ 150 / 0 ÷ 140 Nm (*),,,,350 x 170 x 1080 mm,No - sicurezza oleodinamica antischiacciamento,,,,,100%,,,,,IP44,,,,"3,8 m",,,Asincrono monofase,,,,,73 Kg,,,,,,,"1,5 - 2 lpm (*)",220 W,,,,,,,-20°C ÷ +55°C,,2 s (90° - 3 m) - 3 s (90° - 4 m),,,,220-240V~ 50/60 Hz,,120°C,Rettangolare - Articolata - Tonda - Tonda pivottante,FAAC HP OIL,Elettronico - Regolabile con camme,,,,,1.400 - 2.800 rpm (*),,,,,
172-175,620 Rapida,Lunghezza asta (mm),,,,,,,,TABELLA CODICI DI ORDINAZIONE BARRIERA,,,,,,0 ÷ 150 / 0 ÷ 140 Nm (*),,,,350 x 170 x 1080 mm,No - sicurezza oleodinamica antischiacciamento,,,,,100%,,,,,IP44,,,,"3,8 m",,,Asincrono monofase,,,,,73 Kg,,,,,,,Tipo di materiale,220 W,,,,,,,-20°C ÷ +55°C,,2 s (90° - 3 m) - 3 s (90° - 4 m),,,,220-240V~ 50/60 Hz,,Raffreddamento,Rettangolare - Articolata - Tonda - Tonda pivottante,FAAC HP OIL,Elettronico - Regolabile con camme,,,,,1.400 - 2.800 rpm (*),,,,,
172-175,620 Rapida,Codice versione SX,,,,,,,,Aste rettangolari e accessori specifici,,,,,,0 ÷ 150 / 0 ÷ 140 Nm (*),,,,350 x 170 x 1080 mm,No - sicurezza oleodinamica antischiacciamento,,,,,100%,,,,,IP44,,,,"3,8 m",,,Asincrono monofase,,,,,73 Kg,,,,,,,Acciaio,220 W,,,,,,,-20°C ÷ +55°C,,2 s (90° - 3 m) - 3 s (90° - 4 m),,,,220-240V~ 50/60 Hz,,Ad aria forzata,Rettangolare - Articolata - Tonda - Tonda pivottante,FAAC HP OIL,Elettronico - Regolabile con camme,,,,,1.400 - 2.800 rpm (*),,,,,
172-175,620 Rapida,Codice versione DX,,,,,,,,Aste tonde pivottanti e accessori specifici,,,,,,0 ÷ 150 / 0 ÷ 140 Nm (*),,,,350 x 170 x 1080 mm,No - sicurezza oleodinamica antischiacciamento,,,,,100%,,,,,IP44,,,,"3,8 m",,,Asincrono monofase,,,,,73 Kg,,,,,,,Tipo di trattamento,220 W,,,,,,,-20°C ÷ +55°C,,2 s (90° - 3 m) - 3 s (90° - 4 m),,,,220-240V~ 50/60 Hz,,Ad aria forzata,Rettangolare - Articolata - Tonda - Tonda pivottante,FAAC HP OIL,Elettronico - Regolabile con camme,,,,,1.400 - 2.800 rpm (*),,,,,
172-175,620 Rapida,620,,,,,,,,Aste tonde pivottanti e accessori specifici,,,,,,0 ÷ 150 / 0 ÷ 140 Nm (*),,,,350 x 170 x 1080 mm,No - sicurezza oleodinamica antischiacciamento,,,,,100%,,,,,IP44,,,,"3,8 m",,,Asincrono monofase,,,,,73 Kg,,,,,,,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,220 W,,,,,,,-20°C ÷ +55°C,,2 s (90° - 3 m) - 3 s (90° - 4 m),,,,220-240V~ 50/60 Hz,,Ad aria forzata,Rettangolare - Articolata - Tonda - Tonda pivottante,FAAC HP OIL,Elettronico - Regolabile con camme,,,,,1.400 - 2.800 rpm (*),,,,,
172-175,620 Rapida,Rapida,,,,,,,,Aste tonde pivottanti e accessori specifici,,,,,,0 ÷ 150 / 0 ÷ 140 Nm (*),,,,350 x 170 x 1080 mm,No - sicurezza oleodinamica antischiacciamento,,,,,100%,,,,,IP44,,,,"3,8 m",,,Asincrono monofase,,,,,73 Kg,,,,,,,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,220 W,,,,,,,-20°C ÷ +55°C,,2 s (90° - 3 m) - 3 s (90° - 4 m),,,,220-240V~ 50/60 Hz,,Ad aria forzata,Rettangolare - Articolata - Tonda - Tonda pivottante,FAAC HP OIL,Elettronico - Regolabile con camme,,,,,1.400 - 2.800 rpm (*),,,,,
176-179,B680H,B680H,104680,,,,,,,E680,,,,,,,,,,469 x 279 x 1100 mm,,,,,,100%,,,,,IP56 (attestato TÜV),,,,2 ÷ 8 m,,,Brushless 36V,,,,,85 Kg (65 Kg montante + 20 Kg cofano),,,,,,,"3,2 lpm",240 W,,,,,,,-20°C ÷ +65°C,,"1,5 s (90° - 2m) - 6 s (90° - 8m)",,,,Switching: 100 ÷ 240V~ 50/60 Hz,,,Tonda,FAAC HP OIL,,,,,,1.000 ÷ 6.000 rpm,,,,,
187,Contenitori,Contenitore Mod. L,,,,,,,,,,,,,,,,,,246 x 142 x 353 mm,,,,,,,,,,,IP55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Dispositivi Simply Connect,XRS485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP20,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,,5VDC,,,,,,,,,,,,,,,,,
197-199,Applicazioni Simply Connect,XRS485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP20,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20°C ÷ +55°C,,,5VDC,,,,,,,,,,,,,,,,,
200-201,Sistema 433-868MHz FDS,Decodifica,,,,,,,,,,,,,,,,,,"90 x 70 x 32,5 mm",,,,,433.92 Mhz - 868.35 Mhz,,Tipo di codifica: tecnologia FDS,,,,IP 44,,,,,248,787025,,,,,,,,,,,,"0,5 A / 120 VA",,,AES-128 con chiave a 128 bit,,,,,,-20° C ÷ +55 ° C,,,,12 ÷ 24 V~ - 12 ÷ 24 V~,,,,,,,,,,,,,,,,,Facilità di memorizzazione:
200-201,Sistema 433-868MHz FDS,Descrizione,,,,,,,,,,,,,,,,,,Accessori,,,,,Corrente assorbita,,FDS = FAAC DIGITAL SIGNATURE:,,,,IP 44,,,,,248 CH 1-2 / 248 CH 3-4,"132,00",,,,,,,,,,,,"0,5 A / 120 VA",,,. L'autenticità delle trasmittenti è verificata mediante una catena di certificati di sicurezza personalizzati FAAC.,,,,,,-20° C ÷ +55 ° C,,,,12 ÷ 24 V~ - 12 ÷ 24 V~,,,,,,,,,,,,,,,,,nuove procedure semplificate di memorizzazione/gestione delle trasmittenti sia tramite autoapprendimento che tramite memorizzazione diretta sul ricevente.
200-201,Sistema 433-868MHz FDS,Colore,,,,,,,,,,,,,,,,,,t,,,,,100 mA,,FDS = FAAC DIGITAL SIGNATURE:,,,,IP 44,,,,,Numero canali,Modello,,,,,,,,,,,,"0,5 A / 120 VA",,,Vantaggi:,,,,,,-20° C ÷ +55 ° C,,,,12 ÷ 24 V~ - 12 ÷ 24 V~,,,,,,,,,,,,,,,,,Compatibile con SLH:
202-203,Sistema 433-868MHz FDS BD,Decodifica,,,,,,,,,,,,,,,,,,"90 x 70 x 32,5 mm",,,,,433.92 Mhz - 868.35 Mhz,,Tipo di codifica: tecnologia FDS,,,,IP 44,,,,,248,787025,,,,,,,,,,,,"0,5 A / 120 VA",,,AES-128 con chiave a 128 bit,,,,,,-20° C ÷ +55 ° C,,,,12 ÷ 24 V~ - 12 ÷ 24 V~,,,,,,,,,,,,,,,,,Bidirezionale:
202-203,Sistema 433-868MHz FDS BD,Descrizione,,,,,,,,,,,,,,,,,,Accessori,,,,,Corrente assorbita,,FDS = FAAC DIGITAL SIGNATURE:,,,,IP 44,,,,,248 CH 1-2 / 248 CH 3-4,"132,00",,,,,,,,,,,,"0,5 A / 120 VA",,,. L'autenticità delle trasmittenti è verificata mediante una catena di certificati di sicurezza personalizzati FAAC.,,,,,,-20° C ÷ +55 ° C,,,,12 ÷ 24 V~ - 12 ÷ 24 V~,,,,,,,,,,,,,,,,,Le trasmittenti BD sono in grado di:
202-203,Sistema 433-868MHz FDS BD,Colore,,,,,,,,,,,,,,,,,,t,,,,,100 mA,,FDS = FAAC DIGITAL SIGNATURE:,,,,IP 44,,,,,Numero canali,Modello,,,,,,,,,,,,"0,5 A / 120 VA",,,BD = BIDIREZIONALE:,,,,,,-20° C ÷ +55 ° C,,,,12 ÷ 24 V~ - 12 ÷ 24 V~,,,,,,,,,,,,,,,,,- Fornire un feedback di comando ricevuto da parte della ricevente
204-205,XTO - Sistema 868MHz SLH-DS,Decodifica,,,,,,,,,,,,-,,,,,,"90 x 70 x 32,5 mm",,,,,868.35 ± 0.2 Mhz,,,,,,IP 44,,,,,250,787832,,,50,,,,,,,,,"0,5 A / 12 ÷ 24V~ - 12 ÷ 24 V~",,,,,,,,,-20° C ÷ +55 ° C,,,,12 ÷ 24 V~ - 12 ÷ 24 V~,,,,,,,,,,,,,,,,,
204-205,XTO - Sistema 868MHz SLH-DS,Descrizione,,,,,,,,,,,,A connettore (schede FAAC) e/o morsetto,,,,,,Accessori,,,,,Corrente assorbita,,,,,,IP 44,,,,,250 CH 1-2 / 250 CH 3-4,"61,00",,,-,,,,,,,,,"0,5 A / 12 ÷ 24V~ - 12 ÷ 24 V~",,,,,,,,,-20° C ÷ +55 ° C,,,,12 ÷ 24 V~ - 12 ÷ 24 V~,,,,,,,,,,,,,,,,,
206-207,XTO - Sistema 433 MHz SLH-SL-DS-RC,Descrizione,,,,,,,,,,,,-,,,,,,"90 x 70 x 32,5 mm",,,,,868.35 ± 0.2 Mhz,,,,,,IP 44,,,,,250,,,,50,,,,,,,,,"0,5 A / 12 ÷ 24V~ - 12 ÷ 24 V~",,,,,,,,,-20° C ÷ +55 ° C,,,,12 ÷ 24 V~ - 12 ÷ 24 V~,,,,,,,,,,,,,,,,,
208-209,Sistema 868MHz SLH LR,Decodifica,,,,,,,,,,,,-,,,,,,"90 x 70 x 32,5 mm",,,,,433.92 Mhz - 868.35 Mhz,,,,Tipo di codifica: tecnologia SLH LR,,IP 44,,,,,248,787832,,,50,,,,,,,,,"0,5 A / 120 VA",,,,,,,,,-20° C ÷ +55 ° C,,,,12 ÷ 24 V~ - 12 ÷ 24 V~,,,,,,,,,,,,,,,,,
208-209,Sistema 868MHz SLH LR,Descrizione,,,,,,,,,,,,A connettore (schede FAAC) e/o morsetto,,,,,,Accessori,,,,,Corrente assorbita,,,,(,,IP 44,,,,,248 CH 1-2 / 248 CH 3-4,"61,00",,,-,,,,,,,,,"0,5 A / 120 VA",,,,,,,,,-20° C ÷ +55 ° C,,,,12 ÷ 24 V~ - 12 ÷ 24 V~,,,,,,,,,,,,,,,,,
