codice_sku,num_variants,variant_num,tipo_componente,nome_modello,descrizione_breve,tensione_alimentazione,potenza_massima
428615,4,2,accessorio,,le aste tonde S dispongono di un profilo di gomma antiurto; per una ragione di bi,,
428615,4,3,accessorio,,,,
428615,4,4,accessorio,,Giunto S,,
428806,4,1,Accessori,,Forcella regolabile per supporto asta,,
428806,4,2,accessorio,,Forcella regolabile per supporto asta,,
428806,4,3,accessorio,,Forcella regolabile per supporto aste,,
428806,4,4,accessorio,,,,
490117,4,1,Accessori,,Kit 6 adesivi catarifrangenti,,
490117,4,2,accessorio,,Kit 6 adesivi catarifrangenti,,
490117,4,3,accessorio,,Kit adesivi catarifrangenti,,
490117,4,4,accessorio,,,,
790076,4,1,Apparecchiature Elettroniche,E145S,Scheda elettronica E145S,,
790076,4,2,accessorio,,Per maggiori informazioni,,
790076,4,3,accessorio,,Info a pag.,,
790076,4,4,accessorio,,,,
790286,4,1,Apparecchiature Elettroniche,E024S,Apparecchiatura elettronica E024S con contenitore,,
790286,4,2,accessorio,,Per maggiori informazioni,,
790286,4,3,accessorio,,,,
790286,4,4,accessorio,,Scheda elettronica E024S,,
104100,3,1,Modello,S450H CBAC,Attuatori oleodinamici S450H CBAC,220-240V~ 50/60 Hz,60 W
104100,3,2,Modello,S450H CBAC,Attuatore oleodinamico 24V,220-240V~ 50/60 Hz,60 W
104100,3,3,accessorio,,Attuatori S450H CBAC,,
104101,3,1,Modello,S450H SB,,220-240V~ 50/60 Hz,60 W
104101,3,2,Modello,S450H SB,Attuatore oleodinamico 24V,220-240V~ 50/60 Hz,60 W
104101,3,3,accessorio,,,,
104200,3,1,Modello,422 CBAC,,220-240V~ 50/60 Hz,220 W
104200,3,2,Modello,422 CBAC,Attuatore oleodinamico 230V,220-240V~ 50/60 Hz,220 W
104200,3,3,accessorio,,Attuatori 422 CBAC,,
104210,3,1,Modello,422 SBS,,220-240V~ 50/60 Hz,220 W
104210,3,2,Modello,422 SBS,Attuatore oleodinamico 230V,220-240V~ 50/60 Hz,220 W
104210,3,3,accessorio,,,,
104250,3,1,Modello,S2500I 24V,Operatori integrati S2500I 24V,220-240V~ 50/60 Hz,40W
104250,3,2,Modello,S2500I 24V,Attuatore elettromeccanico 24V,220-240V~ 50/60 Hz,40W
104250,3,3,accessorio,,Attuatore elettromeccanico 24V,,
104301,3,1,Modello,S418 24V,Attuatori elettromeccanici S418 24V con staffe di fissaggio,220-240V~ 50/60 Hz,35 W
104301,3,2,Modello,S418 24V,Attuatore elettromeccanico 24V,220-240V~ 50/60 Hz,35 W
104301,3,3,accessorio,,Attuatori S418 24V,,
104413,3,1,Modello,413 230V,Attuatore elettromeccanico 413,220-240V~ 50/60 Hz,250 W
104413,3,2,Modello,413 230V,Attuatore elettromeccanico 230V,220-240V~ 50/60 Hz,250 W
104413,3,3,accessorio,,Attuatore 413,,
104415,3,1,Modello,415 230V,Attuatori elettromeccanici 415 230V,220-240V~ 50/60 Hz,300 W
104415,3,2,Modello,415,Attuatore elettromeccanico 230V,220-240V~ 50/60 Hz,300 W
104415,3,3,accessorio,,Attuatore 415,,
1044151,3,1,Modello,415 24V,Attuatori elettromeccanici 415 24V,220-240V~ 50/60 Hz,70 W
1044151,3,2,Modello,415 24V,Attuatore elettromeccanico 24V,220-240V~ 50/60 Hz,70 W
1044151,3,3,accessorio,,Attuatore 415,,
104417,3,1,Modello,415 L,,220-240V~ 50/60 Hz,300 W
104417,3,2,Modello,415 L,Attuatore elettromeccanico 230V,220-240V~ 50/60 Hz,300 W
104417,3,3,accessorio,,,,
