Page,Product,SKU_Type,Modello,Codice_SKU,Prezzo,Attribute_Name,Attribute_Value,Tensione di alimentazione di rete,Motore elettrico,Velocità di rotazione motore,Potenza max,Coppia max,Portata gruppo motore-pompa,Tipo di materiale,Tipo di trattamento,Encoder,Tipo di rallentamento,Tipo di asta,Temperatura ambiente di esercizio,Termoprotezione,Raffreddamento,Grado di protezione,Peso,Tipo di olio,Dimensioni (LxPxH),Lunghezza max asta,Tempo di apertura,Frequenza di utilizzo,Apparecchiatura elettronica
168-171,620 Standard,Barrier Config,620 rettangolare con siepe,1046218,,Configuration,,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Barrier Config,620 rettangolare con siepe,1046418,,Configuration,,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Barrier Config,620 articolata,1047048,,Configuration,,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Barrier Config,620 articolata,1047148,,Configuration,,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Barrier Config,620 tonda,1047508,,Configuration,,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Barrier Config,620 tonda,1047518,,Configuration,,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Barrier Config DX,620 rettangolare standard,1046408,,Lunghezza asta (mm),2.065 ÷ 2.555,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Barrier Config DX,620 rettangolare standard,1046428,,Lunghezza asta (mm),3.825 ÷ 4.815,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Barrier Config DX,620 rettangolare standard,1046478,,Lunghezza asta (mm),2.565 ÷ 3.055,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Barrier Config DX,620 rettangolare standard,1046488,,Lunghezza asta (mm),3.065 ÷ 3.815,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Barrier Config SX,620 rettangolare standard,1046208,,Lunghezza asta (mm),2.065 ÷ 2.555,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Barrier Config SX,620 rettangolare standard,1046228,,Lunghezza asta (mm),3.825 ÷ 4.815,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Barrier Config SX,620 rettangolare standard,1046268,,Lunghezza asta (mm),1.315 ÷ 2.055,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Barrier Config SX,620 rettangolare standard,1046278,,Lunghezza asta (mm),2.565 ÷ 3.055,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Barrier Config SX,620 rettangolare standard,1046288,,Lunghezza asta (mm),3.065 ÷ 3.815,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
172-175,620 Rapida,Arm,Asta 3.300,428042,"185,00",Lunghezza (mm),3.300,220-240V~ 50/60 Hz,Asincrono monofase,1.400 - 2.800 rpm (*),220 W,0 ÷ 150 / 0 ÷ 140 Nm (*),"1,5 - 2 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,Ad aria forzata,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,"3,8 m",2 s (90° - 3 m) - 3 s (90° - 4 m),100%,624BLD incorporata
172-175,620 Rapida,Arm,Asta 2.300,428045,"155,00",Lunghezza (mm),2.300,220-240V~ 50/60 Hz,Asincrono monofase,1.400 - 2.800 rpm (*),220 W,0 ÷ 150 / 0 ÷ 140 Nm (*),"1,5 - 2 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,Ad aria forzata,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,"3,8 m",2 s (90° - 3 m) - 3 s (90° - 4 m),100%,624BLD incorporata
172-175,620 Rapida,Arm,Asta 2.315,428088,"152,00",Lunghezza (mm),2.315,220-240V~ 50/60 Hz,Asincrono monofase,1.400 - 2.800 rpm (*),220 W,0 ÷ 150 / 0 ÷ 140 Nm (*),"1,5 - 2 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,Ad aria forzata,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,"3,8 m",2 s (90° - 3 m) - 3 s (90° - 4 m),100%,624BLD incorporata
172-175,620 Rapida,Arm,Asta 2.815,428089,"173,00",Lunghezza (mm),2.815,220-240V~ 50/60 Hz,Asincrono monofase,1.400 - 2.800 rpm (*),220 W,0 ÷ 150 / 0 ÷ 140 Nm (*),"1,5 - 2 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,Ad aria forzata,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,"3,8 m",2 s (90° - 3 m) - 3 s (90° - 4 m),100%,624BLD incorporata
172-175,620 Rapida,Arm,Asta 3.815,428090,"188,00",Lunghezza (mm),3.815,220-240V~ 50/60 Hz,Asincrono monofase,1.400 - 2.800 rpm (*),220 W,0 ÷ 150 / 0 ÷ 140 Nm (*),"1,5 - 2 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,Ad aria forzata,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,"3,8 m",2 s (90° - 3 m) - 3 s (90° - 4 m),100%,624BLD incorporata
172-175,620 Rapida,Arm,Asta 3.000,428176,"346,00",Lunghezza (mm),3.000,220-240V~ 50/60 Hz,Asincrono monofase,1.400 - 2.800 rpm (*),220 W,0 ÷ 150 / 0 ÷ 140 Nm (*),"1,5 - 2 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,Ad aria forzata,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,"3,8 m",2 s (90° - 3 m) - 3 s (90° - 4 m),100%,624BLD incorporata
172-175,620 Rapida,Barrier Config,620 Rapida,1046358,,Configuration,,220-240V~ 50/60 Hz,Asincrono monofase,1.400 - 2.800 rpm (*),220 W,0 ÷ 150 / 0 ÷ 140 Nm (*),"1,5 - 2 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,Ad aria forzata,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,"3,8 m",2 s (90° - 3 m) - 3 s (90° - 4 m),100%,624BLD incorporata
172-175,620 Rapida,Barrier Config,620 Rapida,1046558,,Configuration,,220-240V~ 50/60 Hz,Asincrono monofase,1.400 - 2.800 rpm (*),220 W,0 ÷ 150 / 0 ÷ 140 Nm (*),"1,5 - 2 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,Ad aria forzata,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,"3,8 m",2 s (90° - 3 m) - 3 s (90° - 4 m),100%,624BLD incorporata
172-175,620 Rapida,Barrier Config DX,Rapida,1046538,,Lunghezza asta (mm),2.065 ÷ 2.555,220-240V~ 50/60 Hz,Asincrono monofase,1.400 - 2.800 rpm (*),220 W,0 ÷ 150 / 0 ÷ 140 Nm (*),"1,5 - 2 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,Ad aria forzata,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,"3,8 m",2 s (90° - 3 m) - 3 s (90° - 4 m),100%,624BLD incorporata
172-175,620 Rapida,Barrier Config DX,Rapida,1046548,,Lunghezza asta (mm),2.565 ÷ 3.055,220-240V~ 50/60 Hz,Asincrono monofase,1.400 - 2.800 rpm (*),220 W,0 ÷ 150 / 0 ÷ 140 Nm (*),"1,5 - 2 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,Ad aria forzata,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,"3,8 m",2 s (90° - 3 m) - 3 s (90° - 4 m),100%,624BLD incorporata
172-175,620 Rapida,Barrier Config SX,Rapida,1046338,,Lunghezza asta (mm),2.065 ÷ 2.555,220-240V~ 50/60 Hz,Asincrono monofase,1.400 - 2.800 rpm (*),220 W,0 ÷ 150 / 0 ÷ 140 Nm (*),"1,5 - 2 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,Ad aria forzata,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,"3,8 m",2 s (90° - 3 m) - 3 s (90° - 4 m),100%,624BLD incorporata
172-175,620 Rapida,Barrier Config SX,Rapida,1046348,,Lunghezza asta (mm),2.565 ÷ 3.055,220-240V~ 50/60 Hz,Asincrono monofase,1.400 - 2.800 rpm (*),220 W,0 ÷ 150 / 0 ÷ 140 Nm (*),"1,5 - 2 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,Ad aria forzata,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,"3,8 m",2 s (90° - 3 m) - 3 s (90° - 4 m),100%,624BLD incorporata
176-179,B680H,Arm,"Asta Iniziale S 3,3 m",428042,"185,00",Length,"3,3 m",Switching: 100 ÷ 240V~ 50/60 Hz,Brushless 36V,1.000 ÷ 6.000 rpm,240 W,,"3,2 lpm",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere o cofano INOX,Encoder magnetico assoluto,Elettronico - tramite encoder,Tonda,-20°C ÷ +65°C,,,IP56 (attestato TÜV),85 Kg (65 Kg montante + 20 Kg cofano),FAAC HP OIL,469 x 279 x 1100 mm,2 ÷ 8 m,"1,5 s (90° - 2m) - 6 s (90° - 8m)",100%,E680
176-179,B680H,Arm,"Asta Intera S 4,3 m",428043,"230,00",Length,"4,3 m",Switching: 100 ÷ 240V~ 50/60 Hz,Brushless 36V,1.000 ÷ 6.000 rpm,240 W,,"3,2 lpm",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere o cofano INOX,Encoder magnetico assoluto,Elettronico - tramite encoder,Tonda,-20°C ÷ +65°C,,,IP56 (attestato TÜV),85 Kg (65 Kg montante + 20 Kg cofano),FAAC HP OIL,469 x 279 x 1100 mm,2 ÷ 8 m,"1,5 s (90° - 2m) - 6 s (90° - 8m)",100%,E680
176-179,B680H,Arm,"Asta Intera S 5,3 m",428044,"274,00",Length,"5,3 m",Switching: 100 ÷ 240V~ 50/60 Hz,Brushless 36V,1.000 ÷ 6.000 rpm,240 W,,"3,2 lpm",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere o cofano INOX,Encoder magnetico assoluto,Elettronico - tramite encoder,Tonda,-20°C ÷ +65°C,,,IP56 (attestato TÜV),85 Kg (65 Kg montante + 20 Kg cofano),FAAC HP OIL,469 x 279 x 1100 mm,2 ÷ 8 m,"1,5 s (90° - 2m) - 6 s (90° - 8m)",100%,E680
176-179,B680H,Arm,"Asta Iniziale S 2,3 m",428045,"155,00",Length,"2,3 m",Switching: 100 ÷ 240V~ 50/60 Hz,Brushless 36V,1.000 ÷ 6.000 rpm,240 W,,"3,2 lpm",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere o cofano INOX,Encoder magnetico assoluto,Elettronico - tramite encoder,Tonda,-20°C ÷ +65°C,,,IP56 (attestato TÜV),85 Kg (65 Kg montante + 20 Kg cofano),FAAC HP OIL,469 x 279 x 1100 mm,2 ÷ 8 m,"1,5 s (90° - 2m) - 6 s (90° - 8m)",100%,E680
176-179,B680H,Arm,Asta Finale S 2 m,428046,"134,00",Length,2 m,Switching: 100 ÷ 240V~ 50/60 Hz,Brushless 36V,1.000 ÷ 6.000 rpm,240 W,,"3,2 lpm",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere o cofano INOX,Encoder magnetico assoluto,Elettronico - tramite encoder,Tonda,-20°C ÷ +65°C,,,IP56 (attestato TÜV),85 Kg (65 Kg montante + 20 Kg cofano),FAAC HP OIL,469 x 279 x 1100 mm,2 ÷ 8 m,"1,5 s (90° - 2m) - 6 s (90° - 8m)",100%,E680
176-179,B680H,Arm,"Asta Intera L 5,3 m",428047,"364,00",Length,"5,3 m",Switching: 100 ÷ 240V~ 50/60 Hz,Brushless 36V,1.000 ÷ 6.000 rpm,240 W,,"3,2 lpm",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere o cofano INOX,Encoder magnetico assoluto,Elettronico - tramite encoder,Tonda,-20°C ÷ +65°C,,,IP56 (attestato TÜV),85 Kg (65 Kg montante + 20 Kg cofano),FAAC HP OIL,469 x 279 x 1100 mm,2 ÷ 8 m,"1,5 s (90° - 2m) - 6 s (90° - 8m)",100%,E680
176-179,B680H,Arm,Asta Iniziale L 4 m,428048,"318,00",Length,4 m,Switching: 100 ÷ 240V~ 50/60 Hz,Brushless 36V,1.000 ÷ 6.000 rpm,240 W,,"3,2 lpm",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere o cofano INOX,Encoder magnetico assoluto,Elettronico - tramite encoder,Tonda,-20°C ÷ +65°C,,,IP56 (attestato TÜV),85 Kg (65 Kg montante + 20 Kg cofano),FAAC HP OIL,469 x 279 x 1100 mm,2 ÷ 8 m,"1,5 s (90° - 2m) - 6 s (90° - 8m)",100%,E680
176-179,B680H,Arm,"Asta Finale L 2,3 m",428049,"215,00",Length,"2,3 m",Switching: 100 ÷ 240V~ 50/60 Hz,Brushless 36V,1.000 ÷ 6.000 rpm,240 W,,"3,2 lpm",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere o cofano INOX,Encoder magnetico assoluto,Elettronico - tramite encoder,Tonda,-20°C ÷ +65°C,,,IP56 (attestato TÜV),85 Kg (65 Kg montante + 20 Kg cofano),FAAC HP OIL,469 x 279 x 1100 mm,2 ÷ 8 m,"1,5 s (90° - 2m) - 6 s (90° - 8m)",100%,E680
176-179,B680H,Arm,"Asta Finale L 3,3 m",428050,"274,00",Length,"3,3 m",Switching: 100 ÷ 240V~ 50/60 Hz,Brushless 36V,1.000 ÷ 6.000 rpm,240 W,,"3,2 lpm",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere o cofano INOX,Encoder magnetico assoluto,Elettronico - tramite encoder,Tonda,-20°C ÷ +65°C,,,IP56 (attestato TÜV),85 Kg (65 Kg montante + 20 Kg cofano),FAAC HP OIL,469 x 279 x 1100 mm,2 ÷ 8 m,"1,5 s (90° - 2m) - 6 s (90° - 8m)",100%,E680
176-179,B680H,Arm,"Asta Finale L 4,3 m",428051,"322,00",Length,"4,3 m",Switching: 100 ÷ 240V~ 50/60 Hz,Brushless 36V,1.000 ÷ 6.000 rpm,240 W,,"3,2 lpm",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere o cofano INOX,Encoder magnetico assoluto,Elettronico - tramite encoder,Tonda,-20°C ÷ +65°C,,,IP56 (attestato TÜV),85 Kg (65 Kg montante + 20 Kg cofano),FAAC HP OIL,469 x 279 x 1100 mm,2 ÷ 8 m,"1,5 s (90° - 2m) - 6 s (90° - 8m)",100%,E680
176-179,B680H,Arm,Asta 3.000,428176,"346,00",Lunghezza (mm),3.000,Switching: 100 ÷ 240V~ 50/60 Hz,Brushless 36V,1.000 ÷ 6.000 rpm,240 W,,"3,2 lpm",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere o cofano INOX,Encoder magnetico assoluto,Elettronico - tramite encoder,Tonda,-20°C ÷ +65°C,,,IP56 (attestato TÜV),85 Kg (65 Kg montante + 20 Kg cofano),FAAC HP OIL,469 x 279 x 1100 mm,2 ÷ 8 m,"1,5 s (90° - 2m) - 6 s (90° - 8m)",100%,E680
176-179,B680H,Arm,Giunto S,428615,"55,00",,,Switching: 100 ÷ 240V~ 50/60 Hz,Brushless 36V,1.000 ÷ 6.000 rpm,240 W,,"3,2 lpm",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere o cofano INOX,Encoder magnetico assoluto,Elettronico - tramite encoder,Tonda,-20°C ÷ +65°C,,,IP56 (attestato TÜV),85 Kg (65 Kg montante + 20 Kg cofano),FAAC HP OIL,469 x 279 x 1100 mm,2 ÷ 8 m,"1,5 s (90° - 2m) - 6 s (90° - 8m)",100%,E680
176-179,B680H,Arm,Giunto L,428616,"72,00",,,Switching: 100 ÷ 240V~ 50/60 Hz,Brushless 36V,1.000 ÷ 6.000 rpm,240 W,,"3,2 lpm",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere o cofano INOX,Encoder magnetico assoluto,Elettronico - tramite encoder,Tonda,-20°C ÷ +65°C,,,IP56 (attestato TÜV),85 Kg (65 Kg montante + 20 Kg cofano),FAAC HP OIL,469 x 279 x 1100 mm,2 ÷ 8 m,"1,5 s (90° - 2m) - 6 s (90° - 8m)",100%,E680
176-179,B680H,Barrier,B680H,104680,"2.176,00",,,Switching: 100 ÷ 240V~ 50/60 Hz,Brushless 36V,1.000 ÷ 6.000 rpm,240 W,,"3,2 lpm",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere o cofano INOX,Encoder magnetico assoluto,Elettronico - tramite encoder,Tonda,-20°C ÷ +65°C,,,IP56 (attestato TÜV),85 Kg (65 Kg montante + 20 Kg cofano),FAAC HP OIL,469 x 279 x 1100 mm,2 ÷ 8 m,"1,5 s (90° - 2m) - 6 s (90° - 8m)",100%,E680
