Page,Product,SKU_Type,Modello,Codice_SKU,Prezzo,Attribute_Name,Attribute_Value,Tensione di alimentazione di rete,Motore elettrico,Velocità di rotazione motore,Potenza max,Coppia max,Portata gruppo motore-pompa,Tipo di materiale,Tipo di trattamento,Encoder,Tipo di rallentamento,Tipo di asta,Temperatura ambiente di esercizio,Termoprotezione,Raffreddamento,Grado di protezione,Peso,Tipo di olio,Dimensioni (LxPxH),Lunghezza max asta,Tempo di apertura,Frequenza di utilizzo,Apparecchiatura elettronica
160-163,B614,Barrier,B614 Grigio RAL 9006,1046143,"1.556,00",,,220-240V ~ 50/60 Hz,Con spazzole 24V,,165 W,300 Nm,,Acciaio,Prezincatura spessore 20μm + verniciatura a polvere in poliestere,Incrementale integrato nel motore,Elettronico + meccanico,Rettangolare e tonda,-20°C ÷ +55°C,,,IP55 (scheda di controllo) - IP44,40 Kg,,360 x 250 x 1163 mm (Base di installazione 305 x 230 mm),6 m,< 2 s (80°- 3m),Utilizzo continuo,E614
164-167,615BPR,Arm,Asta 5.000,428002,"268,00",Lunghezza (mm),5.000,220-240V~ 50/60 Hz,Asincrono monofase,1.400 rpm (*),220 W,0 ÷ 400 Nm (*),"1,5 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004 - RAL 9006,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile,Rettangolare - Rettangolare con siepe - Rettangolare articolata - Tonda con luci,-20°C ÷ +55°C,120°C,-,IP44,34 Kg,FAAC HP OIL,270 x 140 x 1015 mm,5 m,"5,7 s (90°)",50%,615BPR incorporata
164-167,615BPR,Arm,Asta 3.300,428042,"185,00",Lunghezza (mm),3.300,220-240V~ 50/60 Hz,Asincrono monofase,1.400 rpm (*),220 W,0 ÷ 400 Nm (*),"1,5 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004 - RAL 9006,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile,Rettangolare - Rettangolare con siepe - Rettangolare articolata - Tonda con luci,-20°C ÷ +55°C,120°C,-,IP44,34 Kg,FAAC HP OIL,270 x 140 x 1015 mm,5 m,"5,7 s (90°)",50%,615BPR incorporata
164-167,615BPR,Arm,Asta 4.300 *,428043,"230,00",Lunghezza (mm),4.300 *,220-240V~ 50/60 Hz,Asincrono monofase,1.400 rpm (*),220 W,0 ÷ 400 Nm (*),"1,5 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004 - RAL 9006,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile,Rettangolare - Rettangolare con siepe - Rettangolare articolata - Tonda con luci,-20°C ÷ +55°C,120°C,-,IP44,34 Kg,FAAC HP OIL,270 x 140 x 1015 mm,5 m,"5,7 s (90°)",50%,615BPR incorporata
164-167,615BPR,Arm,Asta 2.300,428045,"155,00",Lunghezza (mm),2.300,220-240V~ 50/60 Hz,Asincrono monofase,1.400 rpm (*),220 W,0 ÷ 400 Nm (*),"1,5 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004 - RAL 9006,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile,Rettangolare - Rettangolare con siepe - Rettangolare articolata - Tonda con luci,-20°C ÷ +55°C,120°C,-,IP44,34 Kg,FAAC HP OIL,270 x 140 x 1015 mm,5 m,"5,7 s (90°)",50%,615BPR incorporata
164-167,615BPR,Arm,Asta 2.000 *,428046,"134,00",Lunghezza (mm),2.000 *,220-240V~ 50/60 Hz,Asincrono monofase,1.400 rpm (*),220 W,0 ÷ 400 Nm (*),"1,5 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004 - RAL 9006,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile,Rettangolare - Rettangolare con siepe - Rettangolare articolata - Tonda con luci,-20°C ÷ +55°C,120°C,-,IP44,34 Kg,FAAC HP OIL,270 x 140 x 1015 mm,5 m,"5,7 s (90°)",50%,615BPR incorporata
164-167,615BPR,Arm,Asta 2.315,428088,"152,00",Lunghezza (mm),2.315,220-240V~ 50/60 Hz,Asincrono monofase,1.400 rpm (*),220 W,0 ÷ 400 Nm (*),"1,5 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004 - RAL 9006,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile,Rettangolare - Rettangolare con siepe - Rettangolare articolata - Tonda con luci,-20°C ÷ +55°C,120°C,-,IP44,34 Kg,FAAC HP OIL,270 x 140 x 1015 mm,5 m,"5,7 s (90°)",50%,615BPR incorporata
164-167,615BPR,Arm,Asta 2.815,428089,"173,00",Lunghezza (mm),2.815,220-240V~ 50/60 Hz,Asincrono monofase,1.400 rpm (*),220 W,0 ÷ 400 Nm (*),"1,5 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004 - RAL 9006,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile,Rettangolare - Rettangolare con siepe - Rettangolare articolata - Tonda con luci,-20°C ÷ +55°C,120°C,-,IP44,34 Kg,FAAC HP OIL,270 x 140 x 1015 mm,5 m,"5,7 s (90°)",50%,615BPR incorporata
164-167,615BPR,Arm,Asta 3.815,428090,"188,00",Lunghezza (mm),3.815,220-240V~ 50/60 Hz,Asincrono monofase,1.400 rpm (*),220 W,0 ÷ 400 Nm (*),"1,5 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004 - RAL 9006,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile,Rettangolare - Rettangolare con siepe - Rettangolare articolata - Tonda con luci,-20°C ÷ +55°C,120°C,-,IP44,34 Kg,FAAC HP OIL,270 x 140 x 1015 mm,5 m,"5,7 s (90°)",50%,615BPR incorporata
164-167,615BPR,Arm,Asta 4.815,428091,"207,00",Lunghezza (mm),4.815,220-240V~ 50/60 Hz,Asincrono monofase,1.400 rpm (*),220 W,0 ÷ 400 Nm (*),"1,5 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004 - RAL 9006,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile,Rettangolare - Rettangolare con siepe - Rettangolare articolata - Tonda con luci,-20°C ÷ +55°C,120°C,-,IP44,34 Kg,FAAC HP OIL,270 x 140 x 1015 mm,5 m,"5,7 s (90°)",50%,615BPR incorporata
164-167,615BPR,Arm,Asta Giunto *,428615,"55,00",Lunghezza (mm),Giunto *,220-240V~ 50/60 Hz,Asincrono monofase,1.400 rpm (*),220 W,0 ÷ 400 Nm (*),"1,5 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004 - RAL 9006,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile,Rettangolare - Rettangolare con siepe - Rettangolare articolata - Tonda con luci,-20°C ÷ +55°C,120°C,-,IP44,34 Kg,FAAC HP OIL,270 x 140 x 1015 mm,5 m,"5,7 s (90°)",50%,615BPR incorporata
164-167,615BPR,Barrier,615BPR Standard Arancio RAL 2004,104906,"1.279,00",,,220-240V~ 50/60 Hz,Asincrono monofase,1.400 rpm (*),220 W,0 ÷ 400 Nm (*),"1,5 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004 - RAL 9006,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile,Rettangolare - Rettangolare con siepe - Rettangolare articolata - Tonda con luci,-20°C ÷ +55°C,120°C,-,IP44,34 Kg,FAAC HP OIL,270 x 140 x 1015 mm,5 m,"5,7 s (90°)",50%,615BPR incorporata
164-167,615BPR,Barrier,615BPR Standard Grigio RAL 9006,104910,"1.279,00",,,220-240V~ 50/60 Hz,Asincrono monofase,1.400 rpm (*),220 W,0 ÷ 400 Nm (*),"1,5 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004 - RAL 9006,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile,Rettangolare - Rettangolare con siepe - Rettangolare articolata - Tonda con luci,-20°C ÷ +55°C,120°C,-,IP44,34 Kg,FAAC HP OIL,270 x 140 x 1015 mm,5 m,"5,7 s (90°)",50%,615BPR incorporata
168-171,620 Standard,Arm,Asta 5.000,428002,"268,00",Lunghezza (mm),5.000,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
