Page,Product,Spec_Label,Model_1,Model_1_SKU,Value_1,Model_2,Model_2_SKU,Value_2,Model_3,Model_3_SKU,Value_3,Model_4,Model_4_SKU,Value_4,Model_5,Model_5_SKU,Value_5,Model_6,Model_6_SKU,Value_6,Model_7,Model_7_SKU,Value_7,Model_8,Model_8_SKU,Value_8,Model_9,Model_9_SKU,Value_9,Model_10,Model_10_SKU,Value_10,Model_11,Model_11_SKU,Value_11
076-077,413 230V,Angolo max apertura anta,413 230V,104413,110°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076-077,413 230V,Temperatura ambiente di esercizio,413 230V,104413,-20°C ÷ + 55°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076-077,413 230V,Termoprotezione,413 230V,104413,140°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076-077,413 230V,Grado di protezione,413 230V,104413,IP54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076-077,413 230V,Peso,413 230V,104413,"7,8 Kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076-077,413 230V,Frequenza di utilizzo,413 230V,104413,S3 - 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076-077,413 230V,Larghezza max anta,413 230V,104413,"1,8 m (2,5 con elettroserratura)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076-077,413 230V,Staffe di fissaggio,413 230V,104413,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076-077,413 230V,Dimensioni (LxPxH),413 230V,104413,777 x 101 x 152 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076-077,413 230V,Apparecchiatura elettronica,413 230V,104413,Non compresa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-079,415 230V,Tensione di alimentazione di rete,415,104415,220-240V~ 50/60 Hz,415 L,104417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-079,415 230V,Motore elettrico,415,104415,Asincrono monofase,415 L,104417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-079,415 230V,Potenza max,415,104415,300 W,415 L,104417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-079,415 230V,Forza max di spinta,415,104415,3000 N (*),415 L,104417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-079,415 230V,Velocità max stelo,415,104415,16 mm/s (*),415 L,104417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-079,415 230V,Corsa dello stelo,415,104415,300 mm,415 L,104417,400 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-079,415 230V,Angolo max apertura anta,415,104415,110°,415 L,104417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-079,415 230V,Temperatura ambiente di esercizio,415,104415,-20°C ÷ +55°C,415 L,104417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-079,415 230V,Termoprotezione,415,104415,140°C,415 L,104417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-079,415 230V,Grado di protezione,415,104415,IP54,415 L,104417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-079,415 230V,Peso,415,104415,"7,8 Kg",415 L,104417,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-079,415 230V,Frequenza di utilizzo,415,104415,S3 - 30%,415 L,104417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-079,415 230V,Larghezza max anta,415,104415,"2,5 m (3 m con elettroserratura)",415 L,104417,3 m (4 m con elettroserratura),,,,,,,,,,,,,,,,,,,,,,,,,,,
078-079,415 230V,Staffe di fissaggio,415,104415,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,415 L,104417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-079,415 230V,Dimensioni (LxPxH),415,104415,836 x 101 x 147 mm,415 L,104417,942 x 101 x 148 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,
078-079,415 230V,Apparecchiatura elettronica,415,104415,Non compresa,415 L,104417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080-081,415 24V,Tensione di alimentazione di rete,415 24V,1044151,220-240V~ 50/60 Hz,415 L 24V,1044171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080-081,415 24V,Motore elettrico,415 24V,1044151,Con spazzole 24V,415 L 24V,1044171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080-081,415 24V,Potenza max,415 24V,1044151,70 W,415 L 24V,1044171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080-081,415 24V,Forza max di spinta,415 24V,1044151,2800 N,415 L 24V,1044171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080-081,415 24V,Velocità max stelo,415 24V,1044151,16 mm/s,415 L 24V,1044171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080-081,415 24V,Corsa dello stelo,415 24V,1044151,300 mm,415 L 24V,1044171,400 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,
080-081,415 24V,Angolo max apertura anta,415 24V,1044151,110°,415 L 24V,1044171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080-081,415 24V,Temperatura ambiente di esercizio,415 24V,1044151,-20°C ÷ +55°C,415 L 24V,1044171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080-081,415 24V,Grado di protezione,415 24V,1044151,IP54,415 L 24V,1044171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080-081,415 24V,Peso,415 24V,1044151,"7,8 Kg",415 L 24V,1044171,8 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
080-081,415 24V,Frequenza di utilizzo,415 24V,1044151,Uso continuo,415 L 24V,1044171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
