page;nome_prodotto;tipo_nota;note_prodotto
148;550;note;(*) dati riferiti a 230V~ 50Hz. (**) Per porte basculanti con larghezza da 3 a 4 m (alt. 3 m) utilizzare un attuatore 550 ITT ed uno 550 Slave. In tal caso l’apparecchiatura elettronica E550 incorporata nel 550 ITT gestisce anche il 550 Slave. Lo stesso vale per la versione L.
150;580 - 593;note;(*) dati riferiti a 230V~ 50Hz. (**) Per porte con larghezza superiore a 3,50 m installare due attuatori. Per gli attuatori senza blocco occorre installare un'elettroserratura.
154;390 230V;note;(*) dati riferiti a 230V~ 50Hz
154;390 230V;warning;ATTENZIONE: gli operatori 390 devono essere corredati di braccio snodato (cancello a battente) o telescopico (per porte a libro). Per una porta a libro a due pannelli prevedere due operatori, due bracci snodati ed un'apparecchiatura elettronica di comando. Gli operatori 390 possono essere corredati di un finecorsa in apertura e di un finecorsa in chiusura. Per la gestione del/i finecorsa sul 390 è necessario utilizzare la scheda E145S.
156;560;note;(*) dati riferiti a 230V~ 50Hz.
160;B614;note;(*) dati riferiti a 230V~ 50Hz.
164;615BPR;note;(*) dati riferiti a 230V~ 50Hz.
164;615BPR;warning;"ATTENZIONE: l'asta rettangolare e l'asta tonda S dispongono di un profilo in gomma antiurto; per una ragione di bilanciamento non è possibile installare sul profilo dell'asta delle coste di sicurezza “attive”."
168;620 Standard;warning;Il corpo barriera destro o sinistro si determina guardando la barriera dal lato sportello (vedere disegno). Normalmente lo sportello è rivolto all’interno della proprietà.
168;620 Standard;note;(*) dati riferiti a 230V~ 50Hz.
172;620 Rapida;note;(*) dati riferiti a 230V~ 50Hz.
172;620 Rapida;warning;Il corpo barriera destro o sinistro si determina guardando la barriera dal lato sportello (vedere disegno). Normalmente lo sportello è rivolto all’interno della proprietà. La barriera modello 620 Rapida non consente l’installazione del kit siepe e/o piedino d’estremità.
216;Datori d'impulso semplici;note;Compatibile con cilindro europeo DIN 18252
216;Datori d'impulso semplici;warning;(*)	I pulsanti a chiave T20 e T21 sono forniti senza serratura. (**)	Il pulsante a chiave T21 EF è fornito senza serratura e con predisposizione per sblocco elettrofreno avvolgiserrande.
220;Datori d'impulso elettronici;warning;Compatibile con riceventi SLH 433 Mhz, vedi pagina 210 o con riceventi SLH 868 MHz, vedi pagina 208
224;Fotocellule da parete orientabili;warning;"Con due coppie di fotocellule XP20 D, posizionare le coppie TX-RX in maniera contrapposta ed a sufficiente distanza l’una dall’altra, verificando che non siano presenti interferenze ottiche, anche causate da riflessioni o rifrazioni; in questo caso aumentare la distanza tra una coppia e l’altra oppure utilizzare i modelli XP 20W D o XP20B D che consentono la selezione di canali di trasmissione differenti per ogni coppia."
240;RL200;note;(*) dati riferiti a 230V~ 50Hz
242;RH200B;note;(*) dati riferiti a 230V~ 50Hz
244;RH240;note;(*) dati riferiti a 230V~ 50Hz
